cmun,province,municipality,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,town_size,connectivity_score,connectivity_category,towns_in_vicinity,economy_score,economy_score_area,autonomous_community,hospital_distance_score,school_distance_score,hospital_score_area,school_score_area,train_distance_score,airport_distance_score,transport_score,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,age_score,final_age_category,PC1,PC2,PC3,PC4,PC5,cluster,enc_scaled__total_population,enc_scaled__economy_score,enc_scaled__economy_score_area,enc_scaled__hospital_score_area,enc_scaled__school_score_area,enc_scaled__transport_score
48067,Bizkaia,Muxika,18.95764,-2.692941,43.28967,302,96,101,463,584,810,736,1546,Aeropuerto de Bilbao,17.538796727572006,Vitoria/Gasteiz,49.81323523427603,12.530041915843354,Hospital Galdakao-Usansolo,0.288898196890018,Urretxindorra Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,784.0,Mid,0.718,Good,"1002, 1003, 1004, 1010, 1018, 1036, 1042, 1054, 1063, 20003, 20011, 20013, 20017, 20018, 20027, 20030, 20032, 20033, 20034, 20042, 20051, 20055, 20059, 20068, 20074, 20077, 20080, 20901, 48001, 48003, 48005, 48006, 48007, 48011, 48015, 48019, 48020, 48023, 48024, 48025, 48026, 48027, 48029, 48030, 48032, 48034, 48036, 48037, 48039, 48042, 48045, 48050, 48052, 48055, 48058, 48059, 48060, 48062, 48065, 48072, 48075, 48081, 48086, 48088, 48091, 48092, 48093, 48094, 48095, 48096, 48097, 48905, 48910, 48912, 48915",4.1,16.823071333333335,País Vasco,6,10,3.0,5.0,1,6,3.5,19.534282018111256,6.2095730918499354,6.532988357050453,29.948253557567917,37.77490297542044,17.30271668822769,Balanced Town,1.6564223878747104,0.045278910831333584,0.45725497728931147,0.8608077677441635,0.3395843032094818,2,0.6210531799764397,0.4926372472126485,1.2689019878484702,1.0181508521324985,0.6927358064679106,-0.23722181542746684
33038,Asturias,Morcín,236.8473,-5.883333,43.28333,273,154,182,730,1197,1281,1255,2536,Aeropuerto de Asturias,33.257297490724575,Linares-Congostinas,22.10368316488812,6.481794708307355,Centro Médico De Asturias,0.4716996751442253,E.E.I. Monsacro,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",1992.0,Mid,0.3095,Weak,"24145, 24164, 33002, 33005, 33032, 33033, 33037, 33052, 33053, 33058, 33060, 33067, 33068, 33072, 33078",6.35,12.380000000000004,Asturias,8,10,4.0,5.0,3,4,3.5,10.764984227129338,6.072555205047318,7.176656151419558,28.785488958990534,47.20031545741325,-1.8138801261829656,Highly Aging Town,2.3347997879591453,0.02604405173517035,0.3140606271474366,1.077002787232514,-0.7512891453140281,2,1.4726759153453894,0.972821246832895,0.7386589719626108,1.7811152120142857,0.6927358064679106,-0.23722181542746684
39045,Cantabria,Miera,338.0346,-3.711944,43.27555,44,10,30,117,199,212,188,400,Santander-Seve Ballesteros,18.992934014494388,Quintanilla De Las Torres,64.58756039289194,22.196918222476175,Hospital Universitario Marqués De Valdecilla,2.4171494110977028,Escuela Pública de Mirones,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,281.0,Small,0.1485,Poor,"9025, 9124, 9189, 9214, 9215, 9216, 9410, 9413, 9903, 39003, 39004, 39007, 39010, 39017, 39021, 39025, 39026, 39039, 39046, 39051, 39057, 39067, 39069, 39070, 39071, 39072, 39077, 39078, 39081, 39082, 39083, 39097, 39098, 39100, 39101, 48008, 48022, 48051, 48087",0.0,1.6089743589743593,Cantabria,3,10,1.5,5.0,1,6,3.5,11.0,2.5,7.5,29.25,49.75,-7.75,Highly Aging Town,-0.5441929341105219,0.44260740040080787,0.7642292897747502,-0.11797527268883441,-0.19986331112828176,1,-0.3647646530870112,-0.3823647076509117,-0.5467719139278919,-0.12629568769018257,0.6927358064679106,-0.23722181542746684
33001,Asturias,Allande,580.7288,-6.616667,43.26667,104,52,117,352,906,767,764,1531,Aeropuerto de Asturias,57.5805920935416,Linares-Congostinas,71.05983591665726,11.611704585729626,Hospital Carmen Y Severo Ochoa,1.217262640559584,C.P.E.B. Pola de Allande,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1680.0,Mid,0.3235,Weak,"27018, 27035, 33005, 33011, 33022, 33027, 33028, 33048, 33061, 33062, 33068",4.25,5.077272727272728,Asturias,6,10,3.0,5.0,1,3,2.0,6.792945787067277,3.3964728935336383,7.642064010450686,22.991508817766164,59.177008491182235,-32.20117570215547,Highly Aging Town,0.7849793687718029,-0.18974266990221497,0.8994135758086526,0.9638167104188434,-0.9044169897259184,2,0.6081498051981223,0.5246495138539984,-0.13285981375487352,1.0181508521324985,0.6927358064679106,-1.0153485802469844
33061,Asturias,San Martín de Oscos,701.4034,-6.961694,43.26435,27,16,11,85,197,164,172,336,Aeropuerto de Asturias,82.2020043079003,Lugo,55.44737408196069,35.09096391772041,Hospital Carmen Y Severo Ochoa,4.683507880940219,C.R.A. Oscos,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,362.0,Small,0.3225,Weak,"27004, 27010, 27011, 27018, 27029, 27034, 27035, 27046, 27053, 33001, 33011, 33027, 33028, 33048, 33062",0.0,3.441666666666667,Asturias,1,10,0.5,5.0,1,3,2.0,8.035714285714286,4.761904761904762,3.273809523809524,25.297619047619047,58.63095238095239,-34.672619047619065,Highly Aging Town,-0.9361131889689038,-0.3765677596392732,1.2882276113609656,-0.1509818140869062,0.17092789800350708,1,-0.41981905214116555,-0.3823647076509117,-0.328055574820068,-0.8892600475719699,0.6927358064679106,-1.0153485802469844
39066,Cantabria,Ruente,189.9705,-4.265683,43.25963,141,70,75,340,446,580,492,1072,Santander-Seve Ballesteros,40.39542578686144,Quintanilla De Las Torres,49.22231211147188,19.141211354378765,Hospital Sierrallana,13.48779981514964,Colegio Santiago Galas Arce,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,614.0,Mid,0.9255,Excellent,"9025, 34027, 34036, 34904, 39003, 39004, 39010, 39013, 39014, 39015, 39017, 39021, 39022, 39025, 39026, 39027, 39032, 39034, 39039, 39046, 39049, 39050, 39051, 39053, 39055, 39059, 39063, 39065, 39069, 39070, 39071, 39077, 39078, 39081, 39082, 39086, 39088, 39089, 39096, 39098, 39100",0.0,1.702439024390244,Cantabria,4,6,2.0,3.0,1,4,2.5,13.152985074626866,6.529850746268656,6.996268656716417,31.716417910447763,41.6044776119403,12.266791044776127,Balanced Town,-0.812744595413375,-0.6699468370525493,-0.7009766883459533,0.7995569984969247,-0.5271438096640152,1,0.21330653698160923,-0.3823647076509117,-0.5356176959667546,0.2551864922507111,-1.2953107704454199,-0.755972991973812
39088,Cantabria,Tresviso,888.7922,-4.666776,43.25784,1,1,4,7,40,35,18,53,Santander-Seve Ballesteros,70.94264849287283,Quintanilla De Las Torres,61.70307666001391,44.23058609027484,Hospital Del Oriente De Asturias Francisco Grande Covián,9.72289138646324,C.P. Jovellanos,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,72.0,Very Small,0.15,Poor,"24020, 24106, 24116, 33003, 34134, 34185, 34904, 39013, 39014, 39015, 39022, 39034, 39049, 39050, 39053, 39055, 39063, 39066, 39086, 39089, 39096",0.0,0.2821428571428571,Cantabria,1,8,0.5,4.0,1,3,2.0,1.8867924528301887,1.8867924528301887,7.547169811320755,13.20754716981132,75.47169811320755,-75.47169811320757,Highly Aging Town,-1.5264505708024325,-0.6493699314669924,0.4672898838098771,-0.00015989991450810222,-0.07516781644847552,1,-0.6632627229587542,-0.3823647076509117,-0.7051180408120804,-0.8892600475719699,-0.3012874819887547,-1.0153485802469844
48030,Bizkaia,Etxebarria,103.6294,-2.477354,43.25415,128,48,96,190,310,394,378,772,Aeropuerto de Bilbao,35.39546776653953,Araia,44.93700685409752,7.491155979026376,Hospital De Mendaro,0.1174967072329671,Manuela Zubizarreta Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,427.0,Mid,0.7095,Good,"1003, 1013, 1018, 20001, 20002, 20003, 20004, 20005, 20006, 20007, 20008, 20009, 20010, 20011, 20012, 20013, 20014, 20015, 20016, 20017, 20018, 20019, 20020, 20021, 20023, 20025, 20026, 20027, 20028, 20030, 20032, 20033, 20034, 20035, 20037, 20038, 20041, 20042, 20043, 20044, 20046, 20047, 20048, 20049, 20050, 20051, 20052, 20054, 20055, 20057, 20058, 20059, 20061, 20062, 20066, 20068, 20070, 20071, 20072, 20073, 20074, 20075, 20076, 20077, 20078, 20079, 20080, 20901, 20902, 20904, 20905, 20906, 48001, 48003, 48005, 48006, 48007, 48011, 48015, 48019, 48020, 48023, 48024, 48025, 48026, 48027, 48029, 48032, 48034, 48036, 48039, 48050, 48052, 48055, 48058, 48059, 48060, 48062, 48065, 48067, 48072, 48075, 48081, 48088, 48091, 48092, 48093, 48094, 48095, 48097, 48905, 48910, 48915",0.0,12.096728761061948,País Vasco,8,10,4.0,5.0,1,4,2.5,16.580310880829018,6.217616580310881,12.435233160621761,24.61139896373057,40.15544041450777,16.06217616580311,Balanced Town,0.7478925827851121,0.7634233590752759,0.6626624825525019,1.8096172153828636,0.052613282018433315,2,-0.0447609585847392,-0.3823647076509117,0.7048529434792571,1.7811152120142857,0.6927358064679106,-0.755972991973812
39034,Cantabria,Lamasón,315.1235,-4.466667,43.25,14,6,13,62,153,156,92,248,Santander-Seve Ballesteros,55.758326563353776,Quintanilla De Las Torres,52.49460003201941,34.05123913396244,Hospital Sierrallana,12.474908319886795,C.P. Jovellanos,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,272.0,Small,0.6365000000000001,Good,"24116, 34036, 34134, 34904, 39003, 39004, 39010, 39013, 39014, 39015, 39021, 39022, 39025, 39032, 39046, 39049, 39050, 39051, 39053, 39055, 39059, 39063, 39066, 39069, 39077, 39086, 39088, 39089, 39096",0.0,1.7810344827586209,Cantabria,1,6,0.5,3.0,1,3,2.0,5.64516129032258,2.4193548387096775,5.241935483870968,25.0,61.693548387096776,-39.31451612903226,Highly Aging Town,-1.6374230922151178,-1.1375552456867857,-0.3712059168800077,0.23106685227423074,0.027300386602965077,1,-0.4955188508406278,-0.3823647076509117,-0.5262379922092383,-0.8892600475719699,-1.2953107704454199,-1.0153485802469844
39101,Cantabria,Valle de Villaverde,194.6136,-3.260278,43.24528,21,12,6,86,126,144,107,251,Aeropuerto de Bilbao,29.266992766818227,Nanclares-Langraiz,60.40732512666446,20.92033938379258,Hospital San Juan De Dios,2.8585809969700096,José Sierra Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,296.0,Small,0.287,Weak,"1002, 1004, 1010, 1036, 1042, 9050, 9124, 9189, 9190, 9209, 9213, 9214, 9215, 9410, 9908, 39007, 39045, 39057, 39067, 39072, 39083, 48005, 48006, 48008, 48011, 48015, 48020, 48022, 48025, 48029, 48036, 48037, 48042, 48045, 48051, 48052, 48055, 48065, 48074, 48075, 48081, 48086, 48087, 48090, 48092, 48096, 48097, 48905, 48912",0.0,11.682252040816326,Cantabria,3,10,1.5,5.0,1,6,3.5,8.366533864541832,4.780876494023905,2.3904382470119523,34.26294820717131,50.199203187250994,-10.159362549800804,Highly Aging Town,-0.030739453504034998,0.29963820303575023,0.7260675975483765,0.194781425870715,0.8255036823118138,1,-0.4929381758849643,-0.3823647076509117,0.6553886496002216,-0.12629568769018257,0.6927358064679106,-0.23722181542746684
