,cmun,province,municipality,altitude,koppen_climate,age_score,economy_score,economy_score_area,closest_distance_airport,school_score_area
0,48067,Bizkaia,Muxika,18.95764,Cfb,17.30271668822769,4.1,16.823071333333335,17.538796727572006,5.0
1,15064,A Coruña,Paderne,151.441,Csb,-10.66499372647428,5.9,14.034523809523812,16.41894900824503,5.0
2,15039,A Coruña,Irixoa,362.8766,Cfb,-13.840960240060014,0.0,8.93375,25.92998785858057,5.0
3,48062,Bizkaia,Mendata,107.8886,Cfb,16.753926701570684,0.0,15.153359868421049,22.42041748777363,5.0
4,48905,Bizkaia,Zamudio,44.55854,Cfb,21.72403381642512,35.25,31.005961029411765,3.998228699560374,5.0
5,33038,Asturias,Morcín,236.8473,Csb,-1.8138801261829656,6.35,12.380000000000004,33.257297490724575,5.0
6,33005,Asturias,Belmonte de Miranda,220.3919,Csb,-17.025089605734763,4.0,10.291071428571428,34.53968777215083,5.0
7,39067,Cantabria,Ruesga,149.2516,Cfb,-19.69879518072288,0.0,3.3916666666666675,26.62072683493556,3.0
9,31250,Navarra,Bera,42.49012,Cfb,27.282321899736147,14.2,13.706349206349206,12.198910967863828,5.0
12,33078,Asturias,Yernes y Tameza,687.0248,Csb,-31.249999999999982,0.0,9.176923076923076,32.0133178703204,4.0
15,39045,Cantabria,Miera,338.0346,Cfb,-7.75,0.0,1.6089743589743593,18.992934014494388,5.0
16,39069,Cantabria,San Felices de Buelna,105.392,Cfb,20.2657106706031,7.9,5.536486486486487,24.820588495973155,5.0
17,39007,Cantabria,Arredondo,162.1712,Cfb,-7.337526205450729,0.0,3.4425675675675684,24.6291393151826,4.0
18,48087,Bizkaia,Trucios-Turtzioz,420.5313,Cfb,0.0,0.0,12.574543023255814,31.03332072636092,5.0
19,48081,Bizkaia,Lezama,69.00446,Cfb,14.878048780487802,6.5,16.935286619718312,7.042494137279512,5.0
21,48060,Bizkaia,Markina-Xemein,79.80217,Cfb,21.470761961015956,20.65,22.81500327102804,33.561336864057786,5.0
22,31264,Navarra,Zugarramurdi,209.7609,Cfb,32.12765957446811,0.0,5.83375,22.495711003365347,5.0
25,33001,Asturias,Allande,580.7288,Cfb,-32.20117570215547,4.25,5.077272727272728,57.5805920935416,5.0
26,31239,Navarra,Urdazubi/Urdax,98.64223,Cfb,18.58638743455497,0.0,4.193421052631578,25.387500084413205,5.0
27,39100,Cantabria,Villafufre,224.6329,Cfb,12.659470068694787,0.0,1.7673076923076927,18.68317761520639,4.0
28,48037,Bizkaia,Galdames,440.9984,Cfb,0.0607533414337808,0.0,12.237595535714288,15.603785077568322,5.0
29,48007,Bizkaia,Munitibar-Arbatzegi Gerrikaitz,192.7225,Cfb,2.025586353944547,0.0,14.568191875,26.01950448478356,5.0
30,33061,Asturias,San Martín de Oscos,701.4034,Cfb,-34.672619047619065,0.0,3.441666666666667,82.2020043079003,5.0
31,20901,Gipuzkoa,Mendaro,15.47729,Cfb,34.732633683158426,7.85,14.29436936936937,43.458701522945454,5.0
32,48086,Bizkaia,Sopuerta,77.18089,Cfb,22.07321493294673,6.05,14.7654875,20.301637518930924,5.0
33,39081,Cantabria,Saro,162.4471,Cfb,-1.673228346456682,0.0,1.7012820512820512,18.324331127464717,5.0
34,48052,Bizkaia,Larrabetzu,75.54598,Cfb,28.186274509803923,4.2,15.640352083333331,10.208169585471191,5.0
35,39066,Cantabria,Ruente,189.9705,Cfb,12.266791044776127,0.0,1.702439024390244,40.39542578686144,3.0
37,33062,Asturias,Santa Eulalia de Oscos,547.0981,Cfb,-18.501170960187352,0.0,3.441666666666667,86.79212388161153,5.0
38,33048,Asturias,Pesoz,317.0693,Csb,-26.83823529411766,0.0,3.0812500000000003,76.25989734258975,5.0
39,39057,Cantabria,Ramales de la Victoria,86.5575,Cfb,17.51227495908347,6.800000000000001,6.777702702702703,34.502699466677065,4.0
40,39088,Cantabria,Tresviso,888.7922,Cfb,-75.47169811320757,0.0,0.2821428571428571,70.94264849287283,4.0
42,39049,Cantabria,Peñarrubia,475.7796,Cfb,-24.01812688821752,0.0,0.41875,64.14067330845009,4.0
43,20003,Gipuzkoa,Aizarnazabal,55.51113,Cfb,33.717948717948715,0.0,9.91658415841584,37.79737099134574,5.0
44,39063,Cantabria,Rionansa,210.4719,Cfb,-33.03393213572855,0.0,1.8977272727272727,50.717770464099694,3.0
45,48030,Bizkaia,Etxebarria,103.6294,Cfb,16.06217616580311,0.0,12.096728761061948,35.39546776653953,5.0
48,33052,Asturias,Proaza,201.1137,Csb,-21.2166172106825,0.0,9.416666666666666,34.58246562555535,5.0
