,longitude,municipality,latitude
0,-2.692941,Muxika,43.28967
1,-8.176355,Paderne,43.28677
2,-8.058925,Irixoa,43.28474
3,-2.633333,Mendata,43.28333
4,-2.866667,Zamudio,43.28333
5,-5.883333,Morcín,43.28333
6,-6.218905,Belmonte de Miranda,43.28253
7,-3.56,Ruesga,43.2825
8,-8.211315,Betanzos,43.28106
9,-1.682699,Bera,43.28069
10,-1.94756,Astigarraga,43.28065
11,-2.171588,Zarautz,43.28036
12,-6.109764,Yernes y Tameza,43.27959
13,-2.126597,Orio,43.27832
14,-5.607564,San Martín del Rey Aurelio,43.27671
15,-3.711944,Miera,43.27555
16,-4.048611,San Felices de Buelna,43.27528
17,-3.601528,Arredondo,43.27427
18,-3.288546,Trucios-Turtzioz,43.27268
19,-2.832167,Lezama,43.27217
20,-2.049934,Usurbil,43.27138
21,-2.497155,Markina-Xemein,43.2706
22,-1.541245,Zugarramurdi,43.26936
23,-1.975814,Hernani,43.26755
24,-2.020169,Lasarte-Oria,43.26746
25,-6.616667,Allande,43.26667
26,-1.503896,Urdazubi/Urdax,43.26653
27,-3.89347,Villafufre,43.26608
28,-3.094,Galdames,43.266
29,-2.591845,Munitibar-Arbatzegi Gerrikaitz,43.26533
30,-6.961694,San Martín de Oscos,43.26435
31,-2.3755,Mendaro,43.26417
32,-3.1525,Sopuerta,43.26278
33,-3.829885,Saro,43.26129
34,-2.796175,Larrabetzu,43.26097
35,-4.265683,Ruente,43.25963
36,-4.068241,"Corrales de Buelna, Los",43.25957
37,-7.020291,Santa Eulalia de Oscos,43.25917
38,-6.876617,Pesoz,43.25797
39,-3.465148,Ramales de la Victoria,43.25792
40,-4.666776,Tresviso,43.25784
41,-2.923441,Bilbao,43.25696
42,-4.578611,Peñarrubia,43.25583
43,-2.236461,Aizarnazabal,43.25541
44,-4.4025,Rionansa,43.25472
45,-2.477354,Etxebarria,43.25415
46,-8.584469,"Laracha, A",43.25232
47,-5.776198,Mieres,43.25179
48,-6.015672,Proaza,43.25117
49,-8.164351,Coirós,43.25033
50,-4.466667,Lamasón,43.25
51,-2.550174,Ziortza-Bolibar,43.24982
52,-1.990517,Urnieta,43.2482
53,-2.890139,Etxebarri,43.24718
54,-1.703853,Lesaka,43.24679
55,-3.260278,Valle de Villaverde,43.24528
56,-2.988702,Alonsotegi,43.24519
57,-5.074191,Amieva,43.24429
58,-8.900965,Ponteceso,43.24269
59,-3.241389,Artzentales,43.24055
60,-2.258113,Zestoa,43.23944
61,-3.940012,Santiurde de Toranzo,43.23869
62,-2.149008,Aia,43.23692
63,-7.558825,Cospeito,43.23597
64,-3.700278,San Roque de Riomiera,43.23583
65,-5.55625,Laviana,43.23576
66,-1.637286,Etxalar,43.23387
67,-2.883333,Basauri,43.23333
68,-8.016667,Aranga,43.23333
69,-2.845833,Galdakao,43.23056
70,-3.805764,Villacarriedo,43.23019
71,-8.355897,Carral,43.2297
72,-1.699339,Igantzi,43.22575
73,-3.359444,Karrantza Harana/Valle de Carranza,43.22528
74,-3.439148,Lanestosa,43.22117
75,-2.733236,Amorebieta-Etxano,43.2205
76,-2.021122,Andoain,43.22048
77,-9.005163,Laxe,43.21975
78,-8.98,Cabana de Bergantiños,43.21917
79,-6.876276,Grandas de Salime,43.21853
80,-4.083333,Cieza,43.21667
81,-8.283333,Abegondo,43.21667
82,-2.415703,Elgoibar,43.21519
83,-3.135223,Zalla,43.21401
84,-7.294944,Meira,43.2131
85,-3.957237,Corvera de Toranzo,43.2129
86,-8.691041,Carballo,43.21217
87,-2.873626,Zaratamo,43.21151
88,-3.804945,Selaya,43.21114
89,-3.095317,Güeñes,43.21032
90,-2.804965,Bedia,43.20937
91,-2.774117,Lemoa,43.20876
92,-7.400369,Castro de Rei,43.20859
93,-2.887839,Arrigorriaga,43.20752
94,-2.050079,Aduna,43.20379
95,-4.30376,Cabuérniga,43.20371
96,-1.467,Baztan,43.2
97,-4.0,Anievas,43.2
98,-5.9,Riosa,43.2
99,-2.074074,Zizurkil,43.19952
100,-1.89433,Arano,43.19917
101,-1.72578,Arantza,43.19677
102,-2.097548,Asteasu,43.1952
103,-2.609722,Garai,43.19472
104,-5.466943,Sobrescobio,43.19417
105,-3.196942,Balmaseda,43.19287
106,-7.189803,Ribeira de Piquín,43.19055
107,-8.760949,Coristanco,43.19048
108,-5.16,Ponga,43.19
109,-2.052454,Villabona,43.18995
110,-2.529969,Mallabia,43.18965
111,-2.593,Berriz,43.18817
112,-3.517222,Soba,43.18806
113,-2.102534,Larraul,43.18774
114,-2.502607,Ermua,43.18664
115,-4.050034,Arenas de Iguña,43.18615
116,-2.473289,Eibar,43.18418
117,-2.265466,Azpeitia,43.1839
118,-5.35,Caso,43.18333
119,-7.900185,Guitiriz,43.18174
120,-2.902508,Ugao-Miraballes,43.17999
121,-3.071129,Gordexola,43.17989
122,-2.31164,Azkoitia,43.1782
123,-6.549129,Cangas del Narcea,43.17706
124,-2.633777,Iurreta,43.1767
125,-2.109436,Alkiza,43.17244
126,-1.864216,Goizueta,43.17105
127,-2.54713,Zaldibar,43.17097
128,-2.632655,Durango,43.16907
129,-4.583333,Cillorigo de Liébana,43.16667
130,-2.776111,Igorre,43.16583
131,-2.069617,Irura,43.16569
132,-1.67044,Sunbilla,43.16499
133,-2.173594,Errezil,43.16467
134,-3.018889,Okondo,43.16222
135,-2.070695,Anoeta,43.16147
136,-8.473271,Cerceda,43.16024
137,-3.782012,Vega de Pas,43.15893
138,-5.829167,Lena,43.15833
139,-4.253353,"Tojos, Los",43.15514
140,-2.085025,Hernialde,43.15447
141,-4.375278,Tudanca,43.15389
142,-4.6227,Potes,43.15347
143,-2.79043,Arantzazu,43.1529
144,-4.042275,Molledo,43.15285
145,-2.852778,Zeberio,43.15278
146,-7.330053,Pol,43.15272
147,-2.641978,Izurtza,43.15227
148,-4.919606,Posada de Valdeón,43.15176
149,-4.693898,Camaleño,43.15001
150,-2.610278,Abadiño,43.15
151,-5.966667,Quirós,43.15
152,-6.1,Teverga,43.15
153,-5.687873,Aller,43.1497
154,-2.925086,Arakaldo,43.14955
155,-2.026374,Berrobi,43.14548
156,-7.680204,Begonte,43.14534
157,-2.751464,Dima,43.14339
158,-2.962985,Laudio/Llodio,43.14333
159,-2.000488,Elduain,43.14071
160,-1.688063,Elgorriaga,43.13913
161,-5.036725,Oseja de Sajambre,43.13821
162,-2.661135,Mañaria,43.13749
163,-2.073914,Tolosa,43.13698
164,-2.487392,Elgeta,43.13657
165,-2.050705,Belauntza,43.13528
166,-2.200113,Beizama,43.13419
167,-1.627507,Bertizarana,43.13411
168,-2.784141,Artea,43.13372
169,-6.893023,Negueira de Muñiz,43.13335
170,-4.576035,Cabezón de Liébana,43.13258
171,-1.668722,Doneztebe/Santesteban,43.13093
172,-2.542155,Elorrio,43.13039
173,-2.585079,Atxondo,43.13034
174,-2.13718,Albiztur,43.12972
175,-1.707117,Ituren,43.12894
176,-9.184929,Camariñas,43.12862
177,-2.052106,Leaburu,43.12498
178,-8.146308,Curtis,43.12437
179,-1.979426,Berastegi,43.12403
180,-1.742113,Zubieta,43.12394
181,-7.06791,"Fonsagrada, A",43.12375
182,-3.128209,Artziniega,43.1222
183,-2.767771,Areatza,43.12108
184,-7.621819,Rábade,43.12088
185,-4.046467,Bárcena de Pie de Concha,43.12004
186,-2.413358,Bergara,43.11822
187,-1.666667,Donamaria,43.11666
188,-2.022278,Gaztelu,43.11658
189,-8.244491,Mesía,43.11592
190,-3.819026,San Pedro del Romeral,43.11516
191,-9.033895,Vimianzo,43.1103
192,-2.911111,Orozko,43.10861
193,-9.218463,Muxía,43.10466
194,-2.034254,Lizartza,43.10372
195,-7.615168,Outeiro de Rei,43.10213
196,-4.413055,Polaciones,43.10194
197,-2.083905,Altzo,43.10007
198,-2.096273,Alegia,43.10002
199,-3.283333,Valle de Mena,43.1
200,-6.25,Somiedo,43.1
201,-8.916149,Zas,43.09975
202,-2.749615,Zeanuri,43.09966
203,-2.381747,Antzuola,43.09944
204,-3.896081,Luena,43.09888
205,-2.1239,Ikaztegieta,43.09496
206,-2.011392,Orexa,43.09388
207,-2.314383,Urretxu,43.09228
208,-3.43402,Merindad de Montija,43.09207
209,-1.302452,Luzaide/Valcarlos,43.09192
210,-2.31322,Zumarraga,43.09048
211,-1.781005,Saldías,43.08857
212,-8.56,Tordoia,43.088
213,-1.742534,Beintza-Labaien,43.08728
214,-2.150909,Legorreta,43.08579
215,-1.82525,Ezkurra,43.08465
216,-1.796789,Eratsun,43.08351
217,-3.063056,Ayala/Aiara,43.08333
218,-4.079455,Pesquera,43.08223
219,-2.274167,Ezkio-Itsaso,43.08194
220,-1.950692,Areso,43.08125
221,-2.11429,Orendain,43.07972
222,-1.914608,Leitza,43.07879
223,-4.538978,Pesaguero,43.07704
224,-3.552301,Espinosa de los Monteros,43.07687
225,-8.407746,Ordes,43.07674
226,-2.129235,Baliarrain,43.06931
227,-2.167393,Itsasondo,43.06693
228,-8.1,Vilasantar,43.06667
229,-2.006245,Araitz,43.06558
230,-2.487716,Arrasate/Mondragón,43.06451
231,-2.153833,Altzaga,43.06449
232,-2.165558,Arama,43.06364
233,-4.081068,Santiurde de Reinosa,43.06131
234,-4.665703,Vega de Liébana,43.06046
235,-3.642048,Merindad de Sotoscueva,43.05877
236,-2.333641,Legazpi,43.05436
237,-2.178116,Ordizia,43.0542
238,-2.566,Aramaio,43.054
239,-2.566,Ibarra,43.054
240,-4.026556,San Miguel de Aguayo,43.05291
241,-3.001022,Amurrio,43.05265
242,-2.13237,Gaintza,43.05263
243,-2.279856,Gabiria,43.04969
244,-5.177067,Maraña,43.04915
245,-8.814226,Santa Comba,43.0477
246,-2.105388,Abaltzisketa,43.04758
247,-2.204605,Beasain,43.04708
248,-2.083235,Amezketa,43.04452
249,-2.255848,Ormaiztegi,43.04274
250,-8.027381,Sobrado,43.042
251,-2.654584,Otxandio,43.04045
252,-8.277223,Frades,43.04
253,-5.11683,Acebedo,43.03909
254,-2.150894,Zaldibia,43.03796
255,-3.389445,Junta de Traslaloma,43.03695
256,-2.504542,Aretxabaleta,43.03625
257,-2.187379,Lazkao,43.03432
258,-6.866667,Ibias,43.03333
259,-2.411348,Oñati,43.03289
260,-7.327102,Castroverde,43.03097
261,-7.79354,Friol,43.02889
262,-2.203089,Olaberria,43.02708
263,-2.688209,Ubide,43.02683
264,-1.779444,Basaburua,43.02667
265,-1.980945,Betelu,43.02534
266,-5.051342,Burón,43.02356
267,-8.638333,Val do Dubra,43.0225
268,-2.272826,Mutiloa,43.02238
269,-3.768611,Merindad de Valdeporres,43.02056
270,-2.52698,Eskoriatza,43.01707
271,-4.0,Campoo de Yuso,43.01667
272,-4.216667,Hermandad de Campoo de Suso,43.01667
273,-8.533333,Trazo,43.01667
274,-2.274118,Zerain,43.01212
275,-7.555851,Lugo,43.01208
276,-2.234214,Idiazabal,43.01178
277,-1.319766,Orreaga/Roncesvalles,43.00944
278,-9.11521,Dumbría,43.00933
279,-2.252519,Segura,43.00922
280,-8.127,Boimorto,43.008
281,-5.275887,Puebla de Lillo,43.00661
282,-7.239167,Baleira,43.00167
283,-1.891916,Lekunberri,43.0013
284,-4.139154,Reinosa,43.00071
285,-1.678056,Ultzama,43.0
286,-2.166667,Ataun,43.0
287,-1.620193,Lantz,42.9982
288,-3.009623,Urduña/Orduña,42.99445
289,-8.434846,Oroso,42.99442
290,-3.944695,Arija,42.99424
291,-1.939244,Larraun,42.9934
292,-1.335345,Auritz/Burguete,42.98929
293,-4.5,"Pernía, La",42.98833
294,-2.568626,Leintz-Gatzaga,42.98711
295,-3.219167,Valle de Losa,42.98667
296,-8.313807,"Pino, O",42.98462
297,-2.844,Zuia,42.98167
298,-1.589,Anue,42.979
299,-2.290072,Zegama,42.97568
300,-5.012101,Riaño,42.9748
301,-4.927529,Boca de Huérgano,42.97387
302,-5.412788,Valdelugueros,42.97364
303,-4.028184,"Rozas de Valdearroyo, Las",42.97274
304,-2.922222,Urkabustaiz,42.97194
305,-6.000573,San Emiliano,42.97181
306,-3.785833,Valle de Valdebezana,42.97055
307,-2.7183,Zigoitia,42.9682
308,-7.988449,Toques,42.96787
309,-1.783,Imotz,42.967
310,-4.15,Campoo de Enmedio,42.96667
311,-1.241657,Orbara,42.96646
312,-7.003865,Navia de Suarna,42.96486
313,-5.574712,Cármenes,42.95897
314,-3.950556,Alfoz de Santa Gadea,42.95555
315,-9.18975,Cee,42.95541
316,-1.265776,Aria,42.95305
317,-6.14876,Cabrillanes,42.95281
318,-1.533333,Esteribar,42.95
319,-5.199557,Reyero,42.94928
320,-1.286497,Garralda,42.94818
321,-1.23044,Hiriberri/Villanueva de Aezkoa,42.94518
322,-1.264723,Aribe,42.94472
323,-9.19431,Corcubión,42.94464
324,-1.447209,Erro,42.94243
325,-6.570541,Degaña,42.94008
326,-1.638,Odieta,42.94
327,-4.527209,Polentinos,42.93913
328,-8.992199,Mazaricos,42.93893
329,-5.655591,Villamanín,42.9384
330,-3.572985,Villarcayo de Merindad de Castilla la Vieja,42.9383
331,-7.415542,"Corgo, O",42.93829
332,-6.320078,Villablino,42.93821
333,-3.087131,Junta de Villalba de Losa,42.93537
