index,cmun,province,municipality,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,town_size,connectivity_score,connectivity_category,towns_in_vicinity,economy_score,economy_score_area,autonomous_community,hospital_distance_score,school_distance_score,hospital_score_area,school_score_area,train_distance_score,airport_distance_score,transport_score,0-17_pct,18-24_pct,25-34_pct,35-54_pct,55+_pct,age_score,final_age_category,cluster_kmeans,cluster_agg,cluster_dbscan
3834,49034,Zamora,Cañizal,789.5921,-5.368752,41.16766,28,23,25,94,252,225,197,422,Aeropuerto de Salamanca ,26.598898092453535,El Pedroso De La Armuña,10.239736656749225,33.55298790337446,Hospital General De La Santísima Trinidad,9.401834225963777,Gabriela Mistral,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",453.0,Small,0.645,Good,"5023, 5026, 5034, 5043, 5056, 5060, 5073, 5086, 5099, 5114, 5117, 5134, 5142, 5193, 5198, 37012, 37016, 37017, 37019, 37020, 37021, 37022, 37023, 37027, 37031, 37032, 37033, 37038, 37057, 37062, 37067, 37069, 37070, 37073, 37077, 37081, 37082, 37083, 37085, 37087, 37092, 37108, 37110, 37117, 37121, 37128, 37129, 37130, 37148, 37152, 37164, 37174, 37175, 37179, 37185, 37202, 37206, 37207, 37215, 37222, 37224, 37225, 37228, 37229, 37231, 37232, 37236, 37238, 37239, 37240, 37246, 37247, 37253, 37254, 37256, 37265, 37274, 37278, 37288, 37294, 37317, 37318, 37322, 37323, 37324, 37327, 37335, 37338, 37342, 37347, 37348, 37351, 37352, 37354, 37358, 37362, 37372, 37374, 37375, 37379, 37382, 47004, 47020, 47025, 47031, 47035, 47037, 47045, 47049, 47065, 47067, 47078, 47101, 47102, 47121, 47138, 47150, 47160, 47167, 47189, 47204, 47228, 49013, 49031, 49038, 49039, 49040, 49044, 49058, 49059, 49080, 49081, 49084, 49090, 49093, 49096, 49102, 49103, 49115, 49146, 49147, 49148, 49158, 49191, 49197, 49210, 49219, 49226, 49228, 49230, 49234, 49239, 49241, 49255, 49258",0.0,2.265722903225807,Castilla y León,1,8,0.5,4.0,6,6,6.0,6.6350710900473935,5.450236966824645,5.924170616113744,22.274881516587676,59.71563981042654,-35.54502369668246,Highly Aging Town,1,1,-1
765,36018,Pontevedra,Forcarei,592.3196,-8.350904,42.59233,261,144,234,789,1716,1498,1646,3144,Aeropuerto de Santiago,34.33384841496772,Lalin,17.662177592658537,28.815365902342947,Hospital Universitario Montecelo,0.8488762809428544,IES Chano Piñeiro,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",3001.0,Big,0.5835,Moderate,"15012, 15018, 15033, 15065, 15072, 15074, 15078, 15079, 15082, 15085, 15089, 32002, 32004, 32010, 32011, 32013, 32015, 32018, 32019, 32022, 32025, 32035, 32040, 32045, 32046, 32061, 32065, 32069, 32074, 32076, 36002, 36005, 36006, 36007, 36010, 36015, 36016, 36017, 36019, 36020, 36024, 36026, 36027, 36028, 36032, 36037, 36038, 36040, 36041, 36043, 36044, 36046, 36047, 36052, 36053, 36056, 36058, 36059, 36060, 36061",10.05,23.918966250000004,Galicia,2,10,1.0,5.0,4,4,4.0,8.301526717557252,4.580152671755725,7.442748091603053,25.095419847328245,54.58015267175572,-20.610687022900763,Highly Aging Town,3,0,-1
1744,17210,Girona,Ventalló,29.75963,3.026305,42.14958,156,50,91,292,302,451,440,891,Aeropuerto de Girona - Costa Brava,35.149386552656885,Sant Miquel De Fluvia,3.9314362614681206,13.58928118018591,Clínica Santa Creu,0.1185409302751523,Escola Oliveres Mil·lenàries - ZER Tramuntana,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",597.0,Mid,0.914,Excellent,"17001, 17002, 17003, 17004, 17005, 17007, 17008, 17010, 17011, 17012, 17013, 17014, 17015, 17016, 17018, 17019, 17020, 17021, 17022, 17025, 17026, 17029, 17030, 17031, 17033, 17035, 17038, 17040, 17041, 17042, 17044, 17047, 17049, 17050, 17051, 17052, 17054, 17055, 17056, 17057, 17058, 17060, 17062, 17064, 17065, 17066, 17067, 17068, 17070, 17071, 17073, 17074, 17075, 17076, 17077, 17079, 17081, 17085, 17086, 17087, 17088, 17089, 17090, 17092, 17093, 17097, 17098, 17100, 17102, 17105, 17106, 17109, 17110, 17111, 17115, 17117, 17118, 17119, 17120, 17121, 17123, 17124, 17126, 17128, 17129, 17130, 17132, 17135, 17136, 17137, 17138, 17140, 17142, 17143, 17144, 17150, 17151, 17152, 17153, 17154, 17155, 17157, 17158, 17162, 17163, 17165, 17166, 17168, 17169, 17171, 17172, 17173, 17174, 17175, 17176, 17178, 17181, 17182, 17183, 17184, 17186, 17187, 17188, 17189, 17190, 17191, 17195, 17196, 17197, 17198, 17199, 17200, 17203, 17204, 17205, 17209, 17211, 17214, 17215, 17216, 17217, 17218, 17221, 17222, 17223, 17225, 17226, 17227, 17228, 17230, 17232, 17233, 17234, 17901, 17902, 17903",0.0,7.5841248397435885,Cataluña,6,10,3.0,5.0,10,4,7.0,17.50841750841751,5.611672278338945,10.21324354657688,32.77216610549944,33.89450056116723,33.10886644219977,Young & Growing,2,3,-1
3834,49034,Zamora,Cañizal,789.5921,-5.368752,41.16766,28,23,25,94,252,225,197,422,Aeropuerto de Salamanca ,26.598898092453535,El Pedroso De La Armuña,10.239736656749225,33.55298790337446,Hospital General De La Santísima Trinidad,9.401834225963777,Gabriela Mistral,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",453.0,Small,0.645,Good,"5023, 5026, 5034, 5043, 5056, 5060, 5073, 5086, 5099, 5114, 5117, 5134, 5142, 5193, 5198, 37012, 37016, 37017, 37019, 37020, 37021, 37022, 37023, 37027, 37031, 37032, 37033, 37038, 37057, 37062, 37067, 37069, 37070, 37073, 37077, 37081, 37082, 37083, 37085, 37087, 37092, 37108, 37110, 37117, 37121, 37128, 37129, 37130, 37148, 37152, 37164, 37174, 37175, 37179, 37185, 37202, 37206, 37207, 37215, 37222, 37224, 37225, 37228, 37229, 37231, 37232, 37236, 37238, 37239, 37240, 37246, 37247, 37253, 37254, 37256, 37265, 37274, 37278, 37288, 37294, 37317, 37318, 37322, 37323, 37324, 37327, 37335, 37338, 37342, 37347, 37348, 37351, 37352, 37354, 37358, 37362, 37372, 37374, 37375, 37379, 37382, 47004, 47020, 47025, 47031, 47035, 47037, 47045, 47049, 47065, 47067, 47078, 47101, 47102, 47121, 47138, 47150, 47160, 47167, 47189, 47204, 47228, 49013, 49031, 49038, 49039, 49040, 49044, 49058, 49059, 49080, 49081, 49084, 49090, 49093, 49096, 49102, 49103, 49115, 49146, 49147, 49148, 49158, 49191, 49197, 49210, 49219, 49226, 49228, 49230, 49234, 49239, 49241, 49255, 49258",0.0,2.265722903225807,Castilla y León,1,8,0.5,4.0,6,6,6.0,6.6350710900473935,5.450236966824645,5.924170616113744,22.274881516587676,59.71563981042654,-35.54502369668246,Highly Aging Town,1,1,-1
1744,17210,Girona,Ventalló,29.75963,3.026305,42.14958,156,50,91,292,302,451,440,891,Aeropuerto de Girona - Costa Brava,35.149386552656885,Sant Miquel De Fluvia,3.9314362614681206,13.58928118018591,Clínica Santa Creu,0.1185409302751523,Escola Oliveres Mil·lenàries - ZER Tramuntana,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",597.0,Mid,0.914,Excellent,"17001, 17002, 17003, 17004, 17005, 17007, 17008, 17010, 17011, 17012, 17013, 17014, 17015, 17016, 17018, 17019, 17020, 17021, 17022, 17025, 17026, 17029, 17030, 17031, 17033, 17035, 17038, 17040, 17041, 17042, 17044, 17047, 17049, 17050, 17051, 17052, 17054, 17055, 17056, 17057, 17058, 17060, 17062, 17064, 17065, 17066, 17067, 17068, 17070, 17071, 17073, 17074, 17075, 17076, 17077, 17079, 17081, 17085, 17086, 17087, 17088, 17089, 17090, 17092, 17093, 17097, 17098, 17100, 17102, 17105, 17106, 17109, 17110, 17111, 17115, 17117, 17118, 17119, 17120, 17121, 17123, 17124, 17126, 17128, 17129, 17130, 17132, 17135, 17136, 17137, 17138, 17140, 17142, 17143, 17144, 17150, 17151, 17152, 17153, 17154, 17155, 17157, 17158, 17162, 17163, 17165, 17166, 17168, 17169, 17171, 17172, 17173, 17174, 17175, 17176, 17178, 17181, 17182, 17183, 17184, 17186, 17187, 17188, 17189, 17190, 17191, 17195, 17196, 17197, 17198, 17199, 17200, 17203, 17204, 17205, 17209, 17211, 17214, 17215, 17216, 17217, 17218, 17221, 17222, 17223, 17225, 17226, 17227, 17228, 17230, 17232, 17233, 17234, 17901, 17902, 17903",0.0,7.5841248397435885,Cataluña,6,10,3.0,5.0,10,4,7.0,17.50841750841751,5.611672278338945,10.21324354657688,32.77216610549944,33.89450056116723,33.10886644219977,Young & Growing,2,3,-1
5952,46224,Valencia,Segart,273.3418,-0.3736177,39.68359,7,14,18,50,81,95,75,170,Aeropuerto de Valencia,23.2745514906605,Valencia Joaquin Sorolla,24.832910995296913,12.269268769999584,Hospital De Sagunto,3.776106743519614,Mini Cole Gilet,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",202.0,Small,0.4635,Moderate,"12002, 12006, 12007, 12008, 12010, 12011, 12012, 12016, 12017, 12018, 12021, 12022, 12024, 12032, 12039, 12043, 12053, 12056, 12057, 12058, 12059, 12064, 12065, 12067, 12069, 12071, 12074, 12076, 12077, 12081, 12082, 12084, 12088, 12095, 12097, 12104, 12106, 12107, 12109, 12110, 12113, 12114, 12116, 12123, 12125, 12126, 12131, 12135, 12136, 12140, 46005, 46007, 46009, 46010, 46014, 46015, 46018, 46021, 46022, 46025, 46032, 46051, 46052, 46054, 46058, 46065, 46070, 46074, 46076, 46078, 46082, 46089, 46094, 46101, 46102, 46103, 46109, 46110, 46111, 46114, 46116, 46117, 46120, 46122, 46126, 46127, 46134, 46135, 46136, 46147, 46148, 46152, 46159, 46161, 46163, 46164, 46165, 46166, 46169, 46171, 46177, 46182, 46186, 46190, 46191, 46192, 46193, 46194, 46199, 46202, 46205, 46214, 46216, 46223, 46228, 46230, 46237, 46244, 46245, 46250, 46256, 46258, 46260, 46262, 46902, 46903",0.0,23.29115515873016,Comunidad Valenciana,6,10,3.0,5.0,3,6,4.5,4.117647058823529,8.235294117647058,10.588235294117649,29.411764705882355,47.647058823529406,4.117647058823536,Aging Town,4,4,-1
3904,50179,Zaragoza,Moyuela,745.7245,-0.9221865,41.1285,2,8,18,39,160,128,99,227,Aeropuerto de Zaragoza,61.29958870170317,Villahermosa,26.7713711275815,55.824637956808274,Hospital General De La Defensa De Zaragoza,14.493656942153724,C.R.A. De Muniesa,Cfa,Humid Subtropical - Hot summers with year-round precipitation.,453.0,Small,0.15,Poor,"44006, 44008, 44011, 44020, 44022, 44023, 44024, 44029, 44032, 44033, 44034, 44035, 44036, 44043, 44047, 44050, 44084, 44085, 44087, 44090, 44099, 44100, 44101, 44102, 44110, 44122, 44124, 44125, 44131, 44132, 44133, 44138, 44142, 44144, 44152, 44155, 44161, 44164, 44167, 44172, 44184, 44203, 44207, 44208, 44211, 44222, 44224, 44227, 44237, 44238, 44252, 44256, 44265, 44267, 50004, 50005, 50007, 50021, 50023, 50028, 50039, 50040, 50045, 50073, 50080, 50085, 50098, 50108, 50114, 50124, 50131, 50133, 50136, 50138, 50139, 50143, 50149, 50154, 50167, 50171, 50181, 50188, 50200, 50213, 50218, 50224, 50227, 50233, 50258, 50264, 50275, 50283, 50289, 50290, 50291, 50292, 50294, 50295",0.0,0.2512755102040816,Aragón,1,6,0.5,3.0,2,3,2.5,0.881057268722467,3.524229074889868,7.929515418502203,17.180616740088105,70.48458149779736,-60.13215859030838,Highly Aging Town,0,2,-1
846,31219,Navarra,Sansol,494.1248,-2.267601,42.55363,5,3,9,19,55,46,45,91,Aeropuerto de Logroño - Agoncillo,11.215307860423152,Agoncillo,12.3815128196244,16.973780703684767,Complejo Hospitalario San Millan San Pedro De La Rioja,6.9363332909163535,CPEIP Los Arcos Sta. María HLHIP,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,98.0,Very Small,0.9695,Excellent,"1001, 1009, 1011, 1016, 1017, 1019, 1021, 1022, 1023, 1027, 1030, 1031, 1032, 1033, 1034, 1037, 1039, 1041, 1043, 1044, 1052, 1053, 1056, 1057, 1060, 1061, 26001, 26002, 26005, 26006, 26007, 26010, 26016, 26017, 26018, 26019, 26020, 26028, 26029, 26030, 26036, 26046, 26051, 26053, 26057, 26059, 26064, 26066, 26072, 26076, 26078, 26079, 26083, 26084, 26088, 26089, 26092, 26096, 26099, 26103, 26105, 26108, 26117, 26123, 26124, 26126, 26132, 26134, 26135, 26136, 26143, 26144, 26145, 26146, 26147, 26154, 26158, 26160, 26163, 26165, 26168, 26170, 31001, 31002, 31005, 31008, 31010, 31011, 31012, 31013, 31014, 31015, 31021, 31026, 31029, 31030, 31035, 31036, 31039, 31041, 31043, 31046, 31047, 31053, 31061, 31063, 31066, 31073, 31074, 31079, 31080, 31096, 31099, 31100, 31116, 31120, 31121, 31125, 31130, 31139, 31141, 31142, 31143, 31145, 31148, 31152, 31154, 31157, 31160, 31161, 31162, 31165, 31166, 31167, 31168, 31170, 31171, 31174, 31175, 31177, 31182, 31184, 31189, 31190, 31200, 31204, 31206, 31214, 31215, 31223, 31224, 31225, 31230, 31231, 31240, 31251, 31255, 31257, 31260, 31265",0.0,2.5958428125,Navarra,4,8,2.0,4.0,6,8,7.0,5.4945054945054945,3.296703296703297,9.89010989010989,20.87912087912088,60.43956043956044,-33.51648351648351,Highly Aging Town,2,5,-1
3472,8154,Barcelona,Pacs del Penedès,210.873,1.669417,41.36156,177,71,88,266,341,479,464,943,Aeropuerto de Barcelona - El prat,35.53966195635792,Roda De Mar,26.44717131289837,2.978446792722653,Hospital Comarcal De L'Alt Penedès.,0.0843267297722845,Llar d'infants El Petit Drac,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",369.0,Mid,0.955,Excellent,"8001, 8008, 8013, 8020, 8021, 8025, 8027, 8028, 8043, 8044, 8048, 8053, 8054, 8056, 8058, 8059, 8061, 8063, 8065, 8066, 8068, 8069, 8071, 8072, 8073, 8074, 8076, 8077, 8085, 8089, 8091, 8094, 8098, 8101, 8102, 8103, 8114, 8119, 8120, 8122, 8123, 8127, 8133, 8143, 8145, 8146, 8147, 8148, 8152, 8157, 8158, 8161, 8162, 8164, 8165, 8168, 8169, 8170, 8174, 8179, 8184, 8185, 8196, 8200, 8204, 8205, 8206, 8208, 8211, 8217, 8221, 8222, 8226, 8227, 8231, 8232, 8236, 8238, 8240, 8242, 8244, 8249, 8250, 8251, 8257, 8262, 8263, 8270, 8273, 8279, 8286, 8287, 8288, 8289, 8290, 8291, 8292, 8295, 8297, 8300, 8301, 8302, 8304, 8305, 8307, 8905, 25192, 25216, 43001, 43002, 43010, 43012, 43016, 43020, 43021, 43024, 43028, 43030, 43034, 43036, 43037, 43043, 43046, 43050, 43051, 43059, 43061, 43066, 43073, 43074, 43079, 43089, 43090, 43097, 43098, 43100, 43103, 43105, 43107, 43108, 43111, 43119, 43120, 43122, 43126, 43130, 43132, 43135, 43137, 43139, 43140, 43141, 43142, 43143, 43144, 43153, 43160, 43161, 43163, 43164, 43165, 43170",0.0,28.98892638888889,Cataluña,10,10,5.0,5.0,2,4,3.0,18.769883351007422,7.529162248144221,9.331919406150584,28.207847295864266,36.16118769883351,23.64793213149524,Balanced Town,4,4,-1
1816,9066,Burgos,Campolara,971.9648,-3.427225,42.11951,1,0,2,13,32,34,14,48,Aeropuerto de Burgos,30.626491229444817,Burgos Rosa De Lima,34.15840609936559,32.749436704579466,Hospital Recoletas De Burgos,9.99848735332866,Alejandro Rodríguez De Valcárcel,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",120.0,Very Small,0.15,Poor,"9009, 9010, 9020, 9021, 9022, 9023, 9026, 9027, 9029, 9030, 9032, 9033, 9037, 9038, 9039, 9044, 9048, 9058, 9059, 9062, 9063, 9064, 9067, 9070, 9072, 9073, 9074, 9075, 9078, 9084, 9086, 9093, 9094, 9100, 9104, 9105, 9108, 9110, 9112, 9113, 9114, 9119, 9122, 9123, 9127, 9128, 9129, 9133, 9144, 9154, 9162, 9163, 9169, 9173, 9174, 9176, 9177, 9179, 9183, 9184, 9191, 9194, 9196, 9197, 9200, 9201, 9208, 9221, 9223, 9224, 9225, 9226, 9231, 9232, 9239, 9241, 9246, 9248, 9266, 9267, 9268, 9269, 9270, 9274, 9275, 9277, 9288, 9289, 9294, 9295, 9301, 9302, 9303, 9311, 9312, 9314, 9315, 9318, 9326, 9330, 9332, 9335, 9338, 9340, 9343, 9346, 9348, 9351, 9352, 9354, 9356, 9358, 9360, 9362, 9366, 9372, 9378, 9381, 9384, 9386, 9388, 9392, 9396, 9403, 9406, 9407, 9411, 9414, 9425, 9429, 9430, 9431, 9433, 9434, 9439, 9440, 9442, 9443, 9445, 9447, 9448, 9450, 9458, 9463, 9466, 9471, 9476, 9478, 9480, 9901, 9907, 26038, 26162, 26175, 26183, 42080, 42081",0.0,1.2730377388535032,Castilla y León,1,8,0.5,4.0,1,4,2.5,2.083333333333333,0.0,4.166666666666666,27.083333333333332,66.66666666666666,-49.999999999999986,Highly Aging Town,5,0,-1
