,18-24,25-34,35-54
0,96,101,463
1,119,160,648
2,61,95,364
3,28,32,113
4,226,291,1016
5,154,182,730
6,60,124,353
7,37,66,212
9,299,323,1151
12,5,10,34
15,10,30,117
16,131,203,743
17,20,29,147
18,26,34,160
19,182,206,686
21,362,436,1462
22,20,14,85
25,52,117,352
26,17,25,122
27,67,88,312
28,45,47,238
29,20,36,139
30,16,11,85
31,182,147,631
32,167,216,886
33,28,43,135
34,163,159,629
35,70,75,340
37,16,45,96
38,4,7,41
39,151,258,973
40,1,4,7
42,20,26,78
43,51,47,271
44,29,73,224
45,48,96,190
48,27,49,193
49,74,135,568
50,6,13,62
51,11,39,111
54,205,233,761
55,12,6,86
56,185,296,954
57,27,37,140
58,249,364,1420
59,26,58,219
60,252,360,1173
61,75,162,509
62,126,204,659
63,163,333,1101
64,24,42,108
66,57,68,240
68,48,115,465
70,90,175,463
72,53,51,157
73,160,250,721
74,16,20,60
77,151,223,768
78,184,319,987
79,30,55,185
80,34,40,142
81,303,399,1637
84,84,164,492
85,123,213,649
87,123,171,480
88,104,171,537
90,79,101,326
91,226,304,1243
92,206,442,1431
94,43,30,160
95,47,70,286
97,14,21,64
98,81,141,487
99,257,274,843
100,5,3,38
101,40,48,173
102,160,166,458
103,30,19,101
104,27,74,244
106,12,39,110
107,273,416,1403
108,11,31,159
109,461,572,1628
110,61,89,361
111,357,376,1356
112,34,90,293
113,26,16,86
115,77,170,486
118,29,98,365
119,241,376,1383
120,282,402,1209
121,107,150,519
124,255,323,1172
125,30,31,102
126,42,73,153
127,192,242,965
129,97,123,392
130,279,373,1257
131,138,193,653
132,39,45,221
133,49,59,152
134,72,99,386
135,135,241,591
136,229,395,1537
137,47,77,209
139,17,35,107
140,35,24,92
141,6,17,40
142,77,129,410
143,34,26,135
144,62,110,406
145,69,85,311
146,69,122,389
147,12,15,64
148,13,29,88
149,55,89,258
151,37,92,348
152,45,100,429
154,14,11,62
155,40,56,167
156,123,213,709
157,111,119,460
159,24,18,76
160,12,23,56
161,8,16,56
162,19,43,170
164,72,93,346
165,18,24,87
166,8,9,41
167,39,61,190
168,53,52,230
169,8,23,73
170,28,29,143
171,148,219,527
173,81,126,392
174,18,25,97
175,35,41,146
176,273,456,1276
177,33,29,94
178,228,419,1163
179,82,118,300
180,20,24,71
181,106,238,680
182,127,146,576
183,109,115,394
184,84,176,430
185,29,57,175
187,38,36,116
188,10,15,53
189,106,180,613
190,21,39,119
192,210,238,782
193,220,361,1120
194,54,72,189
195,247,420,1628
196,10,16,43
197,48,40,114
198,154,182,509
199,234,345,1292
200,38,84,286
201,240,322,1021
202,93,94,368
203,140,159,626
204,25,47,164
205,35,49,155
206,12,5,31
208,24,43,239
209,14,31,83
211,5,12,36
212,114,261,755
213,11,18,66
214,102,142,409
215,5,7,35
216,4,15,43
217,208,226,945
218,6,7,16
219,43,34,179
220,18,27,68
221,16,19,88
222,186,251,867
223,9,11,83
224,71,117,455
226,8,13,59
227,43,60,207
228,44,96,304
229,36,37,142
231,21,7,45
232,18,11,50
233,10,22,60
234,43,51,164
235,12,24,105
238,113,108,349
239,302,382,1111
240,6,18,45
242,7,13,34
243,51,60,141
244,7,8,30
246,31,30,94
248,80,83,279
249,94,106,379
250,71,158,397
251,85,111,419
252,79,199,559
253,18,10,40
254,120,201,432
255,4,5,32
258,44,96,230
260,101,200,620
261,125,323,889
262,66,96,240
263,7,15,64
264,56,68,239
265,40,31,107
