cmun,municipality,province,autonomous_community,altitude,longitude,latitude,0-17,18-24,25-34,35-54,55+,male,female,total_population,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,vdsl_30mbps,fixed_wireless,ftth,hfc,reception_30mbps,reception_100mbps,reception_1gbps,4g,5g,"5g_3,5ghz",count_of_stations,suburban_train
1001,Alegría-Dulantzi,Álava,País Vasco,561.6857,-2.513507,42.84149,615,250,268,1005,827,1525,1440,2965,18.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,18.273217324656382,Alegria-Dulantzi,0.8197360488447774,12.665248002844589,Hospital Quirónsalud Vitoria,0.1718271368050507,Dulantzi Mepu,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1275.0,0.29,1.0,0.99,0.0,1.0,0.81,0.15,1.0,0.01,0.0,,
1002,Amurrio,Álava,País Vasco,219.691,-3.001022,43.05265,1826,588,862,2961,4075,5134,5178,10312,63.0,89.0,7.0,10.0,5.0,86.0,46.0,51.0,Aeropuerto de Bilbao,28.76239414223678,Nanclares-Langraiz,30.75683485509899,23.37071830436559,Sanatorio Bilbaíno,0.3751567488074406,Ps Virgen Niña Hlbhip,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,4937.0,0.1,1.0,0.92,0.0,0.93,0.87,0.89,1.0,0.96,0.0,5.0,1.0
1003,Aramaio,Álava,País Vasco,381.8797,-2.566,43.054,218,113,108,349,592,709,671,1380,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,23.639651938822453,Alegria-Dulantzi,23.17627718569547,6.852570708422241,Organización Sanitaria Integrada Alto Deba,0.4834157432130087,Aramaioko Haurreskola-Masusta Phe,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,738.0,0.21,0.94,0.85,0.0,0.89,0.78,0.84,1.0,0.6,0.0,,
1004,Artziniega,Álava,País Vasco,196.9808,-3.128209,43.1222,352,127,146,576,655,914,942,1856,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Bilbao,26.840605897563208,Nanclares-Langraiz,43.02199788575063,21.025189014254952,Hospital De Basurto,0.5213695277942649,Arteko Gure Ama Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1099.0,0.11,1.0,0.87,0.0,0.98,0.95,0.97,1.0,0.84,0.0,,
1006,Armiñón,Álava,País Vasco,463.5815,-2.872574,42.72305,42,20,18,96,70,127,119,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,20.846277272985816,Manzanos,2.240749686951332,11.270621197893474,Hospital Santiago Apóstol,3.973536300221477,Unamunzaga Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",180.0,0.0,0.53,0.87,0.0,0.99,0.84,0.9,0.96,0.0,0.0,,
1009,Asparrena,Álava,País Vasco,631.652,-2.321,42.89567,229,110,145,444,685,814,799,1613,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,33.555829763328816,Araia,3.133054419676502,20.900880530063368,Hospital De Zumarraga,0.9911986735135772,Araia Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1093.0,0.12,0.95,0.87,0.0,0.97,0.86,0.88,1.0,0.95,0.0,1.0,0.0
1010,Ayala/Aiara,Álava,País Vasco,300.2789,-3.063056,43.08333,550,208,226,945,1010,1490,1449,2939,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Bilbao,27.40496732167417,Nanclares-Langraiz,36.38890841657899,21.72785618327008,Hospital De Basurto,0.6062582645499704,Etxaurren Ikastola Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1596.0,0.06,0.98,0.82,0.0,0.94,0.87,0.92,1.0,0.78,0.0,1.0,1.0
1011,Baños de Ebro/Mañueta,Álava,País Vasco,428.0221,-2.679144,42.53029,20,24,21,86,141,168,124,292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,30.76654708047739,Haro,15.17700446007509,6.069528224487134,Hospital De Leza,4.255024166009588,Samaniegoko Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",262.0,0.0,1.0,0.95,0.0,1.0,0.94,0.98,1.0,1.0,0.0,,
1013,Barrundia,Álava,País Vasco,555.0674,-2.491817,42.91669,120,74,55,267,363,490,389,879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,19.98807171594641,Alegria-Dulantzi,7.764144977458634,16.202815524060544,Hospital Quirónsalud Vitoria,0.3693704335474649,Barrundiako Haurreskola Phe,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,571.0,0.02,0.98,0.83,0.0,0.89,0.77,0.79,0.99,0.06,0.0,,
1014,Berantevilla,Álava,País Vasco,468.8318,-2.860401,42.68245,71,34,32,135,196,243,225,468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,24.27678708701339,Miranda De Ebro,6.6792439969248525,10.675992049032502,Hospital Santiago Apóstol,0.1602167309493612,Berantevillako Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",338.0,0.0,0.74,0.76,0.0,0.92,0.76,0.78,0.94,0.92,0.0,,
1016,Bernedo,Álava,País Vasco,713.1542,-2.497532,42.62669,63,25,42,165,249,318,226,544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,23.743742743369516,Logroño,19.35551650171389,12.87681213236825,Hospital De Leza,0.4543858431949322,Bernedoko Haurreskola Phe,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,633.0,0.0,0.81,0.86,0.0,0.89,0.88,0.89,1.0,0.0,0.0,,
1017,Campezo/Kanpezu,Álava,País Vasco,742.2458,-2.37,42.69194,146,72,96,297,477,576,512,1088,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,26.170375685410978,Agurain/Salvatierra De Alava,17.23477781896819,25.502440018744952,Hospital General De La Rioja,2.889551720648522,Mendialdea Ipi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,901.0,0.05,1.0,0.95,0.0,1.0,0.97,0.97,1.0,0.87,0.0,,
1018,Zigoitia,Álava,País Vasco,599.7416,-2.7183,42.9682,302,136,117,545,745,992,853,1845,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,9.947284141650414,Vitoria/Gasteiz,14.557206386713691,12.784142888006969,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago),1.2737365516198498,Gorbeia Eskola Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,1051.0,0.06,0.88,0.88,0.0,0.97,0.93,0.96,1.0,0.75,0.01,,
1019,Kripan,Álava,País Vasco,695.0848,-2.516079,42.59167,20,16,16,41,85,91,87,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,21.956051546433148,Logroño,16.13059384083654,10.210228745375518,Hospital De Leza,3.186058802659233,Lantziego Ikastola Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",136.0,0.0,1.0,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0,,
1020,Kuartango,Álava,País Vasco,572.6608,-2.885556,42.87139,66,10,25,109,199,229,180,409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,12.644666640868852,Nanclares-Langraiz,8.998868736825573,16.067858294579388,Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago),7.82412998876898,Erribera Goitiako Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",328.0,0.0,0.99,0.87,0.0,0.95,0.84,0.88,1.0,0.0,0.0,,
1021,Elburgo/Burgelu,Álava,País Vasco,540.8835,-2.544762,42.84956,106,49,47,206,233,333,308,641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,15.583158368816871,Alegria-Dulantzi,2.4707363896046703,10.07630902522774,Hospital Quirónsalud Vitoria,2.586206157323529,Dulantzi Hlhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,296.0,0.15,0.93,0.98,0.0,0.99,0.98,0.98,1.0,0.56,0.0,,
1022,Elciego,Álava,País Vasco,461.4185,-2.618277,42.51507,157,61,83,260,392,477,476,953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,25.50256392440548,Logroño,15.936030719701188,6.970718205894717,Hospital De Leza,0.1891605046835006,Elciego Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",853.0,0.1,1.0,0.98,0.0,1.0,0.96,0.99,1.0,0.86,0.0,,
1023,Elvillar/Bilar,Álava,País Vasco,592.0,-2.544915,42.5705,37,25,23,83,152,151,169,320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,22.39933218627724,Logroño,15.18789902374165,7.718854270619419,Hospital De Leza,2.697145434712493,Lantziego Ikastola Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",299.0,0.18,1.0,0.96,0.0,1.0,0.97,0.98,1.0,0.0,0.0,,
1027,Iruraiz-Gauna,Álava,País Vasco,601.8067,-2.495043,42.82207,71,42,51,166,220,298,252,550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,20.314916761638187,Alegria-Dulantzi,3.3735054226251027,14.474096378395204,Hospital Quirónsalud Vitoria,2.465228581066635,Dulantzi Mepu,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,296.0,0.0,0.86,0.66,0.0,0.92,0.66,0.67,1.0,0.53,0.0,,
1028,Labastida/Bastida,Álava,País Vasco,547.173,-2.793166,42.59042,306,108,146,447,564,809,762,1571,17.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Vitoria,32.474704750037354,Haro,4.666759267090289,12.786285398151811,Hospital De Leza,0.0244446832808154,Marrate Mepr,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",1970.0,0.04,1.0,0.96,0.0,1.0,0.95,0.96,1.0,0.93,0.02,,
1030,Lagrán,Álava,País Vasco,749.7421,-2.58382,42.6264,16,2,16,48,88,96,74,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,28.68284036924733,Logroño,22.13291803364249,7.182959333866606,Hospital De Leza,7.464316418683724,Bernedoko Haurreskola Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",265.0,0.0,0.85,0.67,0.0,1.0,0.7,0.71,1.0,0.0,0.0,,
1031,Laguardia,Álava,País Vasco,629.8966,-2.584237,42.55428,223,96,147,432,593,794,697,1491,74.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,24.332086419730047,Logroño,15.955020973117062,5.076267312900819,Hospital De Leza,0.1164964097549356,Laguardiako Haurreskola-La Avenida Phe,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",1409.0,0.05,1.0,0.93,0.0,1.0,0.94,0.95,1.0,0.02,0.0,,
1032,Lanciego/Lantziego,Álava,País Vasco,548.5494,-2.513204,42.56262,135,37,72,186,259,356,333,689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aeropuerto de Logroño - Agoncillo,19.754781062129155,Logroño,13.100835346237789,10.405475084911728,Hospital De Leza,0.0599435773416841,Lantziego Ikastola Hlhi,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers.",661.0,0.16,0.98,0.59,0.0,1.0,0.98,0.98,1.0,0.0,0.0,,
