cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_sex
1001,alegria-dulantzi,araba/alava,1230,500,536,2010,1654,1525,1440,2965
1002,amurrio,araba/alava,3652,1176,1724,5922,8150,5134,5178,10312
1003,aramaio,araba/alava,436,226,216,698,1184,709,671,1380
1004,artziniega,araba/alava,704,254,292,1152,1310,914,942,1856
1006,arminon,araba/alava,84,40,36,192,140,127,119,246
1008,arratzua-ubarrundia,araba/alava,336,142,180,572,862,551,495,1046
1009,asparrena,araba/alava,458,220,290,888,1370,814,799,1613
1010,ayala/aiara,araba/alava,1100,416,452,1890,2020,1490,1449,2939
1011,banos,araba/alava,40,48,42,172,282,168,124,292
1013,barrundia,araba/alava,240,148,110,534,726,490,389,879
1014,berantevilla,araba/alava,142,68,64,270,392,243,225,468
1016,bernedo,araba/alava,126,50,84,330,498,318,226,544
1017,campezo/kanpezu,araba/alava,292,144,192,594,954,576,512,1088
1018,zigoitia,araba/alava,604,272,234,1090,1490,992,853,1845
1019,kripan,araba/alava,40,32,32,82,170,91,87,178
1020,kuartango,araba/alava,132,20,50,218,398,229,180,409
1021,elburgo/burgelu,araba/alava,212,98,94,412,466,333,308,641
1022,elciego,araba/alava,314,122,166,520,784,477,476,953
1023,elvillar/bilar,araba/alava,74,50,46,166,304,151,169,320
1027,iruraiz-gauna,araba/alava,142,84,102,332,440,298,252,550
1028,labastida/bastida,araba/alava,612,216,292,894,1128,809,762,1571
1030,lagran,araba/alava,32,4,32,96,176,96,74,170
1031,laguardia,araba/alava,446,192,294,864,1186,794,697,1491
1032,lanciego/lantziego,araba/alava,270,74,144,372,518,356,333,689
1033,lapuebla,araba/alava,290,112,178,490,642,435,421,856
1034,leza,araba/alava,62,28,28,136,166,107,103,210
1036,laudio/llodio,araba/alava,5432,2234,2948,10114,15212,8705,9265,17970
1037,arraia-maeztu,araba/alava,298,84,102,534,628,451,372,823
1039,moreda,araba/alava,40,22,68,98,202,114,101,215
1041,navaridas,araba/alava,58,22,58,96,172,114,89,203
1042,okondo,araba/alava,436,144,198,772,830,626,564,1190
1043,oyon-oion,araba/alava,1488,556,592,2118,2158,1747,1709,3456
1044,penacerrada-urizaharra,araba/alava,64,34,50,168,288,181,121,302
1046,erriberagoitia/ribera,araba/alava,230,102,150,516,690,503,341,844
1047,ribera,araba/alava,496,262,290,918,916,770,671,1441
1049,anana,araba/alava,24,4,36,76,146,86,57,143
1051,agurain/salvatierra,araba/alava,2196,696,920,3170,3312,2596,2551,5147
1052,samaniego,araba/alava,98,44,64,128,246,144,146,290
1053,san,araba/alava,208,86,108,386,654,388,333,721
1054,urkabustaiz,araba/alava,556,204,264,978,916,759,700,1459
1055,valdegovia/gaubea,araba/alava,198,116,194,514,1120,576,495,1071
1056,harana/valle,araba/alava,36,20,30,74,268,117,97,214
1057,villabuena,araba/alava,58,26,52,156,272,147,135,282
1058,legutio,araba/alava,754,242,384,1398,1386,1076,1006,2082
1059,vitoria-gasteiz,araba/alava,85894,35360,51166,154436,187958,125163,132244,257407
1060,yecora/iekora,araba/alava,76,46,50,120,236,142,122,264
1061,zalduondo,araba/alava,42,32,28,130,156,105,89,194
1062,zambrana,araba/alava,114,52,74,264,372,242,196,438
1063,zuia,araba/alava,648,434,452,1230,2018,1245,1146,2391
1901,iruna,araba/alava,1336,574,686,2600,2024,1912,1698,3610
1902,lantaron,araba/alava,206,118,152,498,878,531,395,926
2001,abengibre,albacete,116,76,156,392,780,376,384,760
2002,alatoz,albacete,86,72,76,246,530,271,234,505
2003,albacete,albacete,61232,27234,39346,105912,114422,85067,89006,174073
2004,albatana,albacete,152,96,152,284,642,342,321,663
2005,alborea,albacete,142,84,168,352,636,372,319,691
2006,alcadozo,albacete,140,106,108,326,604,352,290,642
2007,alcala,albacete,228,128,232,550,1128,591,542,1133
2008,alcaraz,albacete,352,186,240,704,1136,681,628,1309
2009,almansa,albacete,7854,3524,5134,14160,17972,12057,12265,24322
2010,alpera,albacete,712,338,494,1262,1756,1206,1075,2281
2011,ayna,albacete,62,42,112,280,718,335,272,607
2012,balazote,albacete,784,368,630,1420,1568,1213,1172,2385
2013,balsa,albacete,12,12,10,74,148,71,57,128
2014,"ballestero,",albacete,108,40,68,206,400,212,199,411
2015,barrax,albacete,550,344,490,1084,1300,976,908,1884
2016,bienservida,albacete,102,44,122,246,588,300,251,551
2017,bogarra,albacete,112,50,94,336,910,405,346,751
2018,bonete,albacete,224,126,214,484,878,501,462,963
2019,"bonillo,",albacete,574,424,574,1390,2286,1341,1283,2624
2020,carcelen,albacete,106,64,88,226,508,263,233,496
2021,casas,albacete,460,192,336,772,978,733,636,1369
2022,casas,albacete,8,36,50,130,402,181,132,313
2023,casas,albacete,88,74,98,238,612,292,263,555
2024,casas-ibanez,albacete,1446,730,1058,2582,3310,2314,2249,4563
2025,caudete,albacete,3802,1504,2222,5790,7268,5268,5025,10293
2026,cenizate,albacete,372,174,300,626,862,588,579,1167
2027,corral-rubio,albacete,64,36,60,140,302,160,141,301
2028,cotillas,albacete,12,10,24,48,160,72,55,127
2029,chinchilla,albacete,1644,584,1120,3188,2800,2422,2246,4668
2030,elche,albacete,1096,472,824,1950,2834,1760,1828,3588
2031,ferez,albacete,140,102,112,298,564,301,307,608
2032,fuensanta,albacete,52,20,36,166,324,160,139,299
2033,fuente-alamo,albacete,744,388,578,1282,1848,1278,1142,2420
2034,fuentealbilla,albacete,496,242,452,1008,1416,940,867,1807
2035,"gineta,",albacete,1008,302,620,1698,1590,1343,1266,2609
2036,golosalvo,albacete,8,10,12,30,108,44,40,84
2037,hellin,albacete,10724,5342,7576,18162,20042,15579,15344,30923
2038,"herrera,",albacete,80,32,72,178,268,167,148,315
2039,higueruela,albacete,278,170,250,588,1006,606,540,1146
2040,hoya-gonzalo,albacete,120,88,106,334,548,321,277,598
2041,jorquera,albacete,40,46,54,210,364,193,164,357
2042,letur,albacete,164,138,216,394,930,465,456,921
2043,lezuza,albacete,240,166,302,658,1270,694,624,1318
2044,lietor,albacete,172,134,220,508,1096,551,514,1065
2045,madrigueras,albacete,1624,592,962,2676,3442,2360,2288,4648
2046,mahora,albacete,472,204,330,878,1086,772,713,1485
2047,masegoso,albacete,0,10,18,40,162,68,47,115
2048,minaya,albacete,366,156,216,756,1318,705,701,1406
2049,molinicos,albacete,102,56,136,386,900,406,384,790
2050,montalvos,albacete,16,4,8,36,98,48,33,81
2051,montealegre,albacete,582,298,456,1128,1626,1065,980,2045
2052,motilleja,albacete,224,70,182,380,502,368,311,679
2053,munera,albacete,932,532,790,1794,2736,1750,1642,3392
2054,navas,albacete,154,64,134,274,432,282,247,529
2055,nerpio,albacete,218,162,218,610,1092,652,498,1150
2056,ontur,albacete,498,256,406,996,1622,941,948,1889
2057,ossa,albacete,538,298,446,1236,1912,1127,1088,2215
2058,paterna,albacete,62,20,52,184,360,190,149,339
2059,penascosa,albacete,42,28,66,168,354,188,141,329
2060,penas,albacete,246,156,306,852,1394,874,603,1477
2061,petrola,albacete,116,70,136,290,718,354,311,665
2062,povedilla,albacete,60,46,74,188,420,212,182,394
2063,pozohondo,albacete,366,200,300,778,1450,814,733,1547
2064,pozo-lorente,albacete,46,54,90,176,412,201,188,389
2065,pozuelo,albacete,48,64,106,246,470,256,211,467
