cmun,municipality,province,altitude,longitude,latitude,Koppen_Climate,description
1001,Alegría-Dulantzi,Álava,561.6857,-2.513507,42.84149,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1002,Amurrio,Álava,219.691,-3.001022,43.05265,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1003,Aramaio,Álava,381.8797,-2.566,43.054,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1004,Artziniega,Álava,196.9808,-3.128209,43.1222,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1006,Armiñón,Álava,463.5815,-2.872574,42.72305,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1009,Asparrena,Álava,631.652,-2.321,42.89567,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1010,Ayala/Aiara,Álava,300.2789,-3.063056,43.08333,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1011,Baños de Ebro/Mañueta,Álava,428.0221,-2.679144,42.53029,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1013,Barrundia,Álava,555.0674,-2.491817,42.91669,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1014,Berantevilla,Álava,468.8318,-2.860401,42.68245,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1016,Bernedo,Álava,713.1542,-2.497532,42.62669,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1017,Campezo/Kanpezu,Álava,742.2458,-2.37,42.69194,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1018,Zigoitia,Álava,599.7416,-2.7183,42.9682,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1019,Kripan,Álava,695.0848,-2.516079,42.59167,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1020,Kuartango,Álava,572.6608,-2.885556,42.87139,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1021,Elburgo/Burgelu,Álava,540.8835,-2.544762,42.84956,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1022,Elciego,Álava,461.4185,-2.618277,42.51507,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1023,Elvillar/Bilar,Álava,592.0,-2.544915,42.5705,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1027,Iruraiz-Gauna,Álava,601.8067,-2.495043,42.82207,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1028,Labastida/Bastida,Álava,547.173,-2.793166,42.59042,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1030,Lagrán,Álava,749.7421,-2.58382,42.6264,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1031,Laguardia,Álava,629.8966,-2.584237,42.55428,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1032,Lanciego/Lantziego,Álava,548.5494,-2.513204,42.56262,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1033,Lapuebla de Labarca,Álava,445.6386,-2.575167,42.49467,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1034,Leza,Álava,573.1453,-2.633635,42.56607,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1036,Laudio/Llodio,Álava,127.9116,-2.962985,43.14333,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1037,Arraia-Maeztu,Álava,657.7902,-2.44598,42.73981,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1039,Moreda de Álava/Moreda Araba,Álava,463.9432,-2.40767,42.52802,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1041,Navaridas,Álava,524.3116,-2.624532,42.54517,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1042,Okondo,Álava,145.3144,-3.018889,43.16222,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1043,Oyón-Oion,Álava,437.9938,-2.436965,42.50614,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1044,Peñacerrada-Urizaharra,Álava,749.8625,-2.713375,42.6441,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1046,Erriberagoitia/Ribera Alta,Álava,479.5812,-2.968477,42.71577,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1047,Ribera Baja/Erriberabeitia,Álava,478.6605,-2.918541,42.71267,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1049,Añana,Álava,628.5115,-2.982607,42.80235,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1052,Samaniego,Álava,578.5411,-2.680185,42.56983,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1053,San Millán/Donemiliaga,Álava,596.2991,-2.376111,42.87472,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1054,Urkabustaiz,Álava,680.2825,-2.922222,42.97194,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1055,Valdegovía/Gaubea,Álava,574.0443,-3.1,42.85,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1056,Harana/Valle de Arana,Álava,831.0966,-2.321858,42.75673,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1057,Villabuena de Álava/Eskuernaga,Álava,486.5453,-2.665456,42.54872,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1059,Vitoria-Gasteiz,Álava,534.3582,-2.667893,42.84641,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1060,Yécora/Iekora,Álava,688.1754,-2.470064,42.5693,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1061,Zalduondo,Álava,608.8599,-2.347254,42.88563,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1062,Zambrana,Álava,455.7371,-2.879353,42.65998,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1063,Zuia,Álava,803.4551,-2.844,42.98167,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.
1901,Iruña Oka/Iruña de Oca,Álava,498.6791,-2.807778,42.81917,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
1902,Lantarón,Álava,615.6439,-2.987556,42.75667,Csb,"Mediterranean Warm Summer - Cooler, wet winters and warm, dry summers."
2001,Abengibre,Albacete,635.9763,-1.544182,39.20999,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2002,Alatoz,Albacete,856.581,-1.361155,39.09464,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2003,Albacete,Albacete,685.9573,-1.86007,38.99765,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2004,Albatana,Albacete,583.8509,-1.524207,38.56977,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2005,Alborea,Albacete,700.4382,-1.39587,39.27951,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2006,Alcadozo,Albacete,926.3744,-1.981464,38.64877,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2007,Alcalá del Júcar,Albacete,564.6768,-1.429671,39.19346,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2008,Alcaraz,Albacete,946.7922,-2.492647,38.66966,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2009,Almansa,Albacete,699.0923,-1.097517,38.86941,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2010,Alpera,Albacete,855.4849,-1.231247,38.95939,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2011,Ayna,Albacete,705.988,-2.070846,38.55318,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2012,Balazote,Albacete,774.1191,-2.150826,38.88408,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2013,Balsa de Ves,Albacete,753.8686,-1.195344,39.26442,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2014,"Ballestero, El",Albacete,1022.816,-2.455432,38.84107,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2015,Barrax,Albacete,730.8005,-2.200169,39.04573,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2016,Bienservida,Albacete,892.105,-2.611526,38.51517,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2017,Bogarra,Albacete,877.0484,-2.214221,38.58138,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2018,Bonete,Albacete,892.0386,-1.348517,38.8693,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2019,"Bonillo, El",Albacete,1068.339,-2.539598,38.95073,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2020,Carcelén,Albacete,917.2548,-1.308891,39.10189,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2021,Casas de Juan Núñez,Albacete,708.0665,-1.557571,39.10187,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2022,Casas de Lázaro,Albacete,955.0565,-2.241862,38.77105,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2023,Casas de Ves,Albacete,705.2325,-1.335103,39.2584,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2024,Casas-Ibáñez,Albacete,708.7758,-1.47113,39.28518,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2025,Caudete,Albacete,576.1887,-0.9915481,38.70274,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2026,Cenizate,Albacete,709.0714,-1.661456,39.3043,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2027,Corral-Rubio,Albacete,874.6991,-1.460988,38.83509,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2028,Cotillas,Albacete,937.312,-2.506876,38.4311,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2029,Chinchilla de Monte-Aragón,Albacete,886.0651,-1.722758,38.91862,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2030,Elche de la Sierra,Albacete,641.3206,-2.048343,38.44759,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2031,Férez,Albacete,678.098,-2.010168,38.35604,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2032,Fuensanta,Albacete,704.071,-2.065142,39.24641,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2033,Fuente-Álamo,Albacete,823.3177,-1.431773,38.69322,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2034,Fuentealbilla,Albacete,664.727,-1.549186,39.26686,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2035,"Gineta, La",Albacete,691.8901,-1.996003,39.11287,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2036,Golosalvo,Albacete,737.8311,-1.636626,39.23994,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2037,Hellín,Albacete,571.8438,-1.70331,38.51216,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2038,"Herrera, La",Albacete,715.7388,-2.126546,38.96182,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2039,Higueruela,Albacete,1038.131,-1.445101,38.96424,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2040,Hoya-Gonzalo,Albacete,935.8157,-1.554348,38.96017,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2041,Jorquera,Albacete,620.2926,-1.521044,39.17475,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2042,Letur,Albacete,746.7882,-2.101964,38.36555,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2043,Lezuza,Albacete,916.73,-2.353775,38.94902,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2044,Liétor,Albacete,671.197,-1.952878,38.5429,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2045,Madrigueras,Albacete,692.8739,-1.800167,39.23705,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2046,Mahora,Albacete,667.1957,-1.725332,39.21283,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2047,Masegoso,Albacete,1109.367,-2.315899,38.71841,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2048,Minaya,Albacete,725.5837,-2.319947,39.27149,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2049,Molinicos,Albacete,857.9905,-2.237843,38.46796,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2050,Montalvos,Albacete,710.0,-2.027694,39.16689,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2051,Montealegre del Castillo,Albacete,811.8585,-1.325303,38.78697,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2052,Motilleja,Albacete,679.5121,-1.791874,39.1806,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2053,Munera,Albacete,934.6063,-2.482528,39.03984,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2054,Navas de Jorquera,Albacete,711.0,-1.71904,39.28074,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2055,Nerpio,Albacete,1084.768,-2.302496,38.14801,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2056,Ontur,Albacete,656.9244,-1.498491,38.6147,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2057,Ossa de Montiel,Albacete,911.2698,-2.745406,38.96335,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2058,Paterna del Madera,Albacete,1136.959,-2.346145,38.59725,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2059,Peñascosa,Albacete,1170.48,-2.410708,38.67118,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2060,Peñas de San Pedro,Albacete,1023.151,-2.004189,38.72722,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2061,Pétrola,Albacete,878.49,-1.557605,38.82572,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2062,Povedilla,Albacete,871.9346,-2.603873,38.70169,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2063,Pozohondo,Albacete,872.5624,-1.911805,38.72114,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2064,Pozo-Lorente,Albacete,773.0806,-1.506532,39.07682,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2065,Pozuelo,Albacete,850.8868,-2.100707,38.80923,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2066,"Recueja, La",Albacete,541.1991,-1.490451,39.17558,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2067,Riópar,Albacete,971.0583,-2.41725,38.49912,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2068,Robledo,Albacete,1029.824,-2.448879,38.75912,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2069,"Roda, La",Albacete,679.9437,-1.868604,39.0013,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2070,Salobre,Albacete,924.4268,-2.551266,38.59158,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2071,San Pedro,Albacete,844.3685,-2.186141,38.82642,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2072,Socovos,Albacete,751.4481,-1.983432,38.33348,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2073,Tarazona de la Mancha,Albacete,715.6435,-1.912836,39.26531,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2074,Tobarra,Albacete,642.4951,-1.693783,38.58844,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2075,Valdeganga,Albacete,668.1237,-1.677004,39.13523,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2076,Vianos,Albacete,1117.031,-2.501559,38.63218,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2077,Villa de Ves,Albacete,741.5894,-1.26016,39.22327,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2078,Villalgordo del Júcar,Albacete,687.8445,-2.06341,39.29626,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2079,Villamalea,Albacete,743.7635,-1.599296,39.36189,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2080,Villapalacios,Albacete,837.8229,-2.635532,38.5746,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2081,Villarrobledo,Albacete,728.5291,-2.607643,39.26726,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2082,Villatoya,Albacete,416.7317,-1.340224,39.33326,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2083,Villavaliente,Albacete,728.5188,-1.458606,39.12596,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2084,Villaverde de Guadalimar,Albacete,796.1951,-2.517869,38.4555,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2085,Viveros,Albacete,1012.303,-2.576014,38.7733,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
2086,Yeste,Albacete,862.6873,-2.318711,38.36583,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
2901,Pozo Cañada,Albacete,826.6574,-1.736837,38.80128,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3002,Agost,Alicante,332.424,-0.6395459,38.44117,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3003,Agres,Alicante,724.617,-0.5156772,38.77988,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3004,Aigües,Alicante,325.356,-0.3627366,38.49932,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3005,Albatera,Alicante,21.50101,-0.8696246,38.1806,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3006,Alcalalí,Alicante,290.6824,-0.046652,38.75568,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3008,Alcoleja,Alicante,751.6678,-0.3323183,38.67542,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3010,Alfafara,Alicante,587.1841,-0.5552129,38.77266,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3011,"Alfàs del Pi, l'",Alicante,96.30521,-0.1032094,38.58055,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3012,Algorfa,Alicante,29.95276,-0.7957607,38.08587,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3013,Algueña,Alicante,536.0125,-1.003234,38.33886,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3015,Almoradí,Alicante,17.38357,-0.7920032,38.10963,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3016,Almudaina,Alicante,575.8386,-0.35386,38.76115,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3017,"Alqueria d'Asnar, l'",Alicante,358.3362,-0.4256638,38.77235,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3018,Altea,Alicante,21.23566,-0.0491708,38.60032,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3019,Aspe,Alicante,230.3877,-0.7694142,38.34857,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures."
3020,Balones,Alicante,663.7676,-0.3420584,38.73683,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3021,Banyeres de Mariola,Alicante,825.7204,-0.6558753,38.71685,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3022,Benasau,Alicante,695.5562,-0.3437617,38.69114,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3023,Beneixama,Alicante,595.4329,-0.7661394,38.69995,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3024,Benejúzar,Alicante,25.65035,-0.8384452,38.07839,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3025,Benferri,Alicante,54.47756,-0.9632033,38.14063,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3026,Beniarbeig,Alicante,46.27847,-0.0020653,38.82312,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3028,Beniarrés,Alicante,391.1873,-0.3782794,38.81952,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3029,Benigembla,Alicante,310.3394,-0.1102239,38.75606,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3030,Benidoleig,Alicante,102.7022,-0.0281963,38.79387,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3031,Benidorm,Alicante,21.19977,-0.1290771,38.53704,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3032,Benifallim,Alicante,730.8427,-0.4003207,38.66279,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3033,Benifato,Alicante,654.8287,-0.2300378,38.67406,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3034,Benijófar,Alicante,35.03075,-0.73795,38.07811,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3035,Benilloba,Alicante,535.0692,-0.3904273,38.70023,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3036,Benillup,Alicante,561.1097,-0.3789057,38.75348,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3037,Benimantell,Alicante,562.9584,-0.207443,38.67443,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3038,Benimarfull,Alicante,427.3933,-0.3934855,38.7751,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3039,Benimassot,Alicante,729.0436,-0.2923697,38.74907,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3040,Benimeli,Alicante,95.25533,-0.0417273,38.82294,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3041,Benissa,Alicante,253.765,0.0533722,38.71623,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3042,"Poble Nou de Benitatxell, el/Benitachell",Alicante,154.6002,0.1447876,38.73225,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3043,Biar,Alicante,703.2366,-0.7654974,38.6297,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3044,Bigastro,Alicante,29.8936,-0.8955043,38.06304,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3045,Bolulla,Alicante,220.4359,-0.1117929,38.67622,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3046,Busot,Alicante,331.5273,-0.4172711,38.48483,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3048,Callosa d'en Sarrià,Alicante,254.6619,-0.1225342,38.65133,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3049,Callosa de Segura,Alicante,22.56134,-0.8784829,38.12413,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3050,"Campello, el",Alicante,25.46509,-0.3978871,38.42892,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3051,"Camp de Mirra, el/Campo de Mirra",Alicante,588.4718,-0.7770379,38.68671,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3052,Cañada,Alicante,561.0671,-0.8098581,38.67524,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3053,Castalla,Alicante,685.3792,-0.6722506,38.59519,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3054,Castell de Castells,Alicante,425.5766,-0.1748384,38.75242,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3055,Catral,Alicante,11.0,-0.8014995,38.16095,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3056,Cocentaina,Alicante,446.2317,-0.4384323,38.74228,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3057,Confrides,Alicante,789.8048,-0.2685593,38.68329,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters."
3058,Cox,Alicante,20.62896,-0.8870501,38.1416,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
3059,Crevillent,Alicante,120.1649,-0.803492,38.24703,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.
