cmun,municipality,number_of_houses,VDSL_30Mbps,fixed_wireless,FTTH,HFC,reception_30Mbps,reception_100Mbps,reception_1Gbps,4G,5G,"5G_3,5GHz"
1001,Alegría-Dulantzi,1275.0,0.29,1.0,0.99,0.0,1.0,0.81,0.15,1.0,0.01,0.0
1002,Amurrio,4937.0,0.1,1.0,0.92,0.0,0.93,0.87,0.89,1.0,0.96,0.0
1003,Aramaio,738.0,0.21,0.94,0.85,0.0,0.89,0.78,0.84,1.0,0.6,0.0
1004,Artziniega,1099.0,0.11,1.0,0.87,0.0,0.98,0.95,0.97,1.0,0.84,0.0
1006,Armiñón,180.0,0.0,0.53,0.87,0.0,0.99,0.84,0.9,0.96,0.0,0.0
1008,Arratzua-Ubarrundia,543.0,0.04,0.91,0.68,0.0,0.96,0.92,0.93,1.0,0.72,0.24
1009,Asparrena,1093.0,0.12,0.95,0.87,0.0,0.97,0.86,0.88,1.0,0.95,0.0
1010,Ayala/Aiara,1596.0,0.06,0.98,0.82,0.0,0.94,0.87,0.92,1.0,0.78,0.0
1011,Baños de Ebro/Mañueta,262.0,0.0,1.0,0.95,0.0,1.0,0.94,0.98,1.0,1.0,0.0
1013,Barrundia,571.0,0.02,0.98,0.83,0.0,0.89,0.77,0.79,0.99,0.06,0.0
1014,Berantevilla,338.0,0.0,0.74,0.76,0.0,0.92,0.76,0.78,0.94,0.92,0.0
1016,Bernedo,633.0,0.0,0.81,0.86,0.0,0.89,0.88,0.89,1.0,0.0,0.0
1017,Campezo/Kanpezu,901.0,0.05,1.0,0.95,0.0,1.0,0.97,0.97,1.0,0.87,0.0
1018,Zigoitia,1051.0,0.06,0.88,0.88,0.0,0.97,0.93,0.96,1.0,0.75,0.01
1019,Kripan,136.0,0.0,1.0,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
1020,Kuartango,328.0,0.0,0.99,0.87,0.0,0.95,0.84,0.88,1.0,0.0,0.0
1021,Elburgo/Burgelu,296.0,0.15,0.93,0.98,0.0,0.99,0.98,0.98,1.0,0.56,0.0
1022,Elciego,853.0,0.1,1.0,0.98,0.0,1.0,0.96,0.99,1.0,0.86,0.0
1023,Elvillar/Bilar,299.0,0.18,1.0,0.96,0.0,1.0,0.97,0.98,1.0,0.0,0.0
1027,Iruraiz-Gauna,296.0,0.0,0.86,0.66,0.0,0.92,0.66,0.67,1.0,0.53,0.0
1028,Labastida/Bastida,1970.0,0.04,1.0,0.96,0.0,1.0,0.95,0.96,1.0,0.93,0.02
1030,Lagrán,265.0,0.0,0.85,0.67,0.0,1.0,0.7,0.71,1.0,0.0,0.0
1031,Laguardia,1409.0,0.05,1.0,0.93,0.0,1.0,0.94,0.95,1.0,0.02,0.0
1032,Lanciego/Lantziego,661.0,0.16,0.98,0.59,0.0,1.0,0.98,0.98,1.0,0.0,0.0
1033,Lapuebla de Labarca,669.0,0.22,0.99,0.94,0.0,1.0,0.92,0.99,1.0,0.0,0.0
1034,Leza,257.0,0.17,1.0,0.9,0.0,1.0,0.9,0.92,1.0,1.0,0.0
1036,Laudio/Llodio,8846.0,0.09,1.0,0.97,0.04,0.99,0.98,0.98,1.0,0.99,0.0
1037,Arraia-Maeztu,682.0,0.03,0.86,0.79,0.0,1.0,0.79,0.8,0.98,0.33,0.0
1039,Moreda de Álava/Moreda Araba,216.0,0.0,1.0,0.95,0.0,1.0,0.89,0.96,1.0,0.0,0.0
1041,Navaridas,162.0,0.0,1.0,0.99,0.0,1.0,0.99,0.99,1.0,0.48,0.0
1042,Okondo,619.0,0.12,1.0,0.69,0.0,0.92,0.85,0.84,1.0,0.87,0.0
1043,Oyón-Oion,1887.0,0.18,1.0,0.89,0.0,1.0,0.82,0.88,1.0,0.33,0.19
1044,Peñacerrada-Urizaharra,284.0,0.0,0.89,0.86,0.0,0.93,0.86,0.86,1.0,0.13,0.0
1046,Erriberagoitia/Ribera Alta,592.0,0.0,0.74,0.87,0.0,0.93,0.79,0.81,0.95,0.17,0.0
1047,Erriberabeitia,712.0,0.07,0.99,0.91,0.0,1.0,0.91,0.92,1.0,0.76,0.0
1049,Añana,226.0,0.0,0.99,0.9,0.0,0.95,0.9,0.9,1.0,0.0,0.0
1051,Agurain/Salvatierra,2502.0,0.19,0.99,0.97,0.0,0.99,0.97,0.97,1.0,0.99,0.0
1052,Samaniego,259.0,0.0,1.0,0.98,0.0,1.0,0.97,0.99,1.0,0.77,0.0
1053,San Millán/Donemiliaga,479.0,0.0,0.68,0.57,0.0,0.9,0.53,0.54,0.97,0.72,0.0
1054,Urkabustaiz,858.0,0.11,0.96,0.91,0.0,0.97,0.94,0.96,0.99,0.71,0.0
1055,Valdegovía/Gaubea,1230.0,0.02,0.92,0.89,0.0,0.9,0.8,0.85,0.99,0.0,0.0
1056,Harana/Valle de Arana,237.0,0.0,0.95,0.99,0.0,0.99,0.98,0.99,1.0,0.01,0.0
1057,Villabuena de Álava/Eskuernaga,275.0,0.19,1.0,0.99,0.0,1.0,1.0,1.0,1.0,0.31,0.0
1058,Legutio,1097.0,0.32,0.99,0.92,0.0,0.98,0.9,0.91,1.0,0.13,0.0
1059,Vitoria-Gasteiz,117869.0,0.11,1.0,0.99,0.01,0.99,0.98,0.99,1.0,1.0,0.97
1060,Yécora/Iekora,231.0,0.0,1.0,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
1061,Zalduondo,124.0,0.0,0.33,0.94,0.0,0.98,0.96,0.98,1.0,0.93,0.0
1062,Zambrana,408.0,0.1,0.63,0.92,0.0,1.0,0.94,0.96,0.87,0.22,0.0
1063,Zuia,1347.0,0.03,0.99,0.59,0.0,0.97,0.79,0.81,1.0,0.62,0.0
1901,Iruña Oka/Iruña de Oca,1572.0,0.2,0.94,0.99,0.0,0.99,0.96,0.99,1.0,0.95,0.05
1902,Lantarón,686.0,0.0,0.88,0.92,0.0,0.96,0.87,0.87,0.99,0.01,0.0
2001,Abengibre,487.0,0.12,0.9,0.99,0.0,1.0,0.98,0.83,1.0,0.0,0.0
2002,Alatoz,583.0,0.0,0.96,0.99,0.0,1.0,0.96,0.97,1.0,0.0,0.0
2003,Albacete,87009.0,0.08,0.99,0.97,0.9,1.0,0.95,0.92,1.0,0.99,0.96
2004,Albatana,508.0,0.01,0.97,0.93,0.0,1.0,0.93,0.2,1.0,0.0,0.0
2005,Alborea,734.0,0.0,0.97,0.99,0.0,1.0,0.99,0.42,1.0,0.0,0.0
2006,Alcadozo,576.0,0.0,0.86,0.68,0.0,1.0,0.68,0.0,0.99,0.0,0.0
2007,Alcalá del Júcar,1369.0,0.12,0.91,0.94,0.0,1.0,0.91,0.16,1.0,0.51,0.0
2008,Alcaraz,1324.0,0.04,0.96,0.92,0.0,1.0,0.68,0.76,1.0,0.0,0.0
2009,Almansa,12982.0,0.11,0.97,0.87,0.0,1.0,0.92,0.0,1.0,0.92,0.0
2010,Alpera,1398.0,0.05,0.73,0.94,0.0,1.0,0.94,0.94,1.0,0.0,0.0
2011,Ayna,1060.0,0.0,0.86,0.91,0.0,1.0,0.55,0.32,0.98,0.0,0.0
2012,Balazote,1251.0,0.19,0.71,0.96,0.0,1.0,0.96,0.94,1.0,0.97,0.0
2013,Balsa de Ves,429.0,0.0,0.74,0.69,0.0,1.0,0.7,0.19,1.0,0.0,0.0
2014,El Ballestero,422.0,0.28,0.86,0.95,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2015,Barrax,1157.0,0.0,0.69,0.92,0.0,1.0,0.84,0.82,1.0,0.0,0.0
2016,Bienservida,804.0,0.2,0.56,0.91,0.0,1.0,0.89,0.86,1.0,0.0,0.0
2017,Bogarra,1250.0,0.0,0.55,0.9,0.0,1.0,0.69,0.83,0.99,0.0,0.0
2018,Bonete,647.0,0.25,0.98,0.91,0.0,1.0,0.91,0.0,1.0,0.0,0.0
2019,El Bonillo,1998.0,0.06,0.87,0.89,0.0,1.0,0.92,0.0,1.0,0.0,0.0
2020,Carcelén,522.0,0.0,1.0,0.89,0.0,1.0,0.89,0.86,1.0,0.0,0.0
2021,Casas de Juan Núñez,793.0,0.0,1.0,0.98,0.0,1.0,0.99,0.82,1.0,0.0,0.0
2022,Casas de Lázaro,479.0,0.0,0.95,0.78,0.0,1.0,0.0,0.0,0.99,0.0,0.0
2023,Casas de Ves,769.0,0.0,0.84,0.99,0.0,1.0,0.99,0.99,1.0,0.0,0.0
2024,Casas-Ibáñez,2624.0,0.08,0.97,0.97,0.0,1.0,0.97,0.0,1.0,0.0,0.0
2025,Caudete,5454.0,0.03,0.98,0.95,0.0,1.0,0.96,0.95,0.99,0.89,0.0
2026,Cenizate,612.0,0.18,0.65,0.98,0.0,1.0,0.98,0.0,1.0,0.0,0.0
2027,Corral-Rubio,297.0,0.0,0.97,0.81,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2028,Cotillas,210.0,0.0,0.69,0.8,0.0,0.08,0.0,0.0,0.9,0.46,0.0
2029,Chinchilla de Monte-Aragón,3035.0,0.02,0.89,0.93,0.0,1.0,0.92,0.64,1.0,0.02,0.0
2030,Elche de la Sierra,3442.0,0.02,0.91,0.9,0.0,1.0,0.73,0.69,1.0,0.0,0.0
2031,Férez,657.0,0.02,0.98,0.89,0.0,1.0,0.0,0.86,1.0,0.98,0.0
2032,Fuensanta,514.0,0.0,0.97,0.85,0.0,1.0,0.73,0.71,1.0,1.0,0.0
2033,Fuente-Álamo,1529.0,0.11,0.6,0.94,0.0,1.0,0.94,0.9,1.0,0.0,0.0
2034,Fuentealbilla,1168.0,0.13,0.83,0.98,0.0,1.0,0.98,0.76,1.0,0.0,0.0
2035,La Gineta,1435.0,0.09,0.89,0.98,0.0,1.0,0.99,0.98,1.0,0.96,0.0
2036,Golosalvo,106.0,0.0,0.99,0.95,0.0,1.0,0.95,0.0,1.0,0.0,0.0
2037,Hellín,14715.0,0.06,0.98,0.96,0.68,1.0,0.92,0.91,1.0,0.95,0.07
2038,La Herrera,261.0,0.0,0.79,0.84,0.0,1.0,0.85,0.79,1.0,0.16,0.0
2039,Higueruela,917.0,0.1,0.8,0.91,0.0,1.0,0.91,0.0,1.0,0.0,0.0
2040,Hoya-Gonzalo,392.0,0.0,0.99,0.96,0.0,1.0,0.96,0.0,1.0,0.0,0.0
2041,Jorquera,502.0,0.0,0.87,0.86,0.0,1.0,0.87,0.86,0.98,0.0,0.0
2042,Letur,1257.0,0.0,0.94,0.89,0.0,1.0,0.77,0.59,1.0,0.9,0.0
2043,Lezuza,1344.0,0.0,0.84,0.88,0.0,1.0,0.89,0.79,0.99,0.63,0.0
2044,Liétor,1183.0,0.0,0.94,0.9,0.0,1.0,0.86,0.86,0.99,0.94,0.0
2045,Madrigueras,2367.0,0.06,0.59,0.97,0.0,1.0,0.97,0.0,1.0,0.95,0.0
2046,Mahora,959.0,0.11,0.71,0.99,0.0,1.0,0.99,0.0,1.0,0.0,0.0
2047,Masegoso,268.0,0.0,0.63,0.93,0.0,1.0,0.0,0.0,0.81,0.0,0.0
2048,Minaya,1129.0,0.1,0.59,0.96,0.0,1.0,0.95,0.0,1.0,1.0,0.0
2049,Molinicos,1423.0,0.11,0.95,0.93,0.0,1.0,0.37,0.37,1.0,0.15,0.0
2050,Montalvos,124.0,0.0,0.01,0.94,0.0,1.0,0.94,0.91,0.54,0.0,0.0
2051,Montealegre del Castillo,1233.0,0.28,0.96,0.94,0.0,1.0,0.94,0.94,1.0,0.0,0.0
2052,Motilleja,499.0,0.0,0.02,0.97,0.0,1.0,0.97,0.0,0.84,0.03,0.0
2053,Munera,2506.0,0.08,0.57,0.89,0.0,1.0,0.89,0.82,1.0,0.97,0.0
2054,Navas de Jorquera,330.0,0.19,1.0,0.99,0.0,1.0,0.99,0.0,1.0,0.0,0.0
2055,Nerpio,1331.0,0.0,0.76,0.75,0.0,0.81,0.59,0.19,0.98,0.0,0.0
2056,Ontur,1269.0,0.26,0.72,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
2057,Ossa de Montiel,1769.0,0.05,0.62,0.89,0.0,1.0,0.8,0.71,1.0,0.91,0.0
2058,Paterna del Madera,599.0,0.0,0.9,0.85,0.0,1.0,0.0,0.79,0.96,0.0,0.0
2059,Peñascosa,373.0,0.0,0.69,0.77,0.0,1.0,0.0,0.0,0.97,0.0,0.0
2060,Peñas de San Pedro,975.0,0.12,0.89,0.8,0.0,1.0,0.55,0.0,1.0,0.0,0.0
2061,Pétrola,663.0,0.0,0.99,0.97,0.0,1.0,0.77,0.0,1.0,0.0,0.0
2062,Povedilla,408.0,0.42,0.89,0.98,0.0,1.0,0.99,0.99,1.0,0.0,0.0
2063,Pozohondo,1403.0,0.09,0.81,0.96,0.0,1.0,0.79,0.75,0.97,0.66,0.0
2064,Pozo-Lorente,358.0,0.0,0.99,0.97,0.0,1.0,0.97,0.0,1.0,0.0,0.0
2065,Pozuelo,444.0,0.0,0.89,0.96,0.0,1.0,0.71,0.0,1.0,0.0,0.0
2066,La Recueja,291.0,0.0,0.01,0.96,0.0,1.0,0.96,0.92,1.0,0.0,0.0
2067,Riópar,1655.0,0.08,0.94,0.67,0.0,0.99,0.63,0.6,1.0,0.97,0.0
2068,Robledo,447.0,0.0,0.89,0.91,0.0,1.0,0.0,0.51,1.0,0.0,0.0
2069,La Roda,8551.0,0.03,0.96,0.91,0.0,0.99,0.91,0.88,1.0,0.94,0.0
2070,Salobre,614.0,0.0,1.0,0.99,0.0,1.0,0.36,0.98,1.0,0.56,0.0
2071,San Pedro,793.0,0.0,1.0,0.98,0.0,1.0,0.86,0.0,1.0,0.0,0.0
2072,Socovos,1332.0,0.12,0.81,0.94,0.0,1.0,0.77,0.57,0.99,0.65,0.0
2073,Tarazona de la Mancha,3548.0,0.07,0.89,0.93,0.0,1.0,0.95,0.78,1.0,1.0,0.0
2074,Tobarra,5485.0,0.05,0.93,0.88,0.0,1.0,0.71,0.67,1.0,0.85,0.0
2075,Valdeganga,1193.0,0.11,0.84,0.97,0.0,1.0,0.98,0.96,1.0,0.95,0.0
2076,Vianos,416.0,0.0,0.26,0.91,0.0,1.0,0.92,0.92,0.99,0.0,0.0
2077,Villa de Ves,140.0,0.0,0.93,0.96,0.0,1.0,0.97,0.0,1.0,0.0,0.0
2078,Villalgordo del Júcar,777.0,0.17,0.98,0.97,0.0,1.0,0.97,0.82,1.0,0.0,0.0
2079,Villamalea,2036.0,0.0,0.3,0.97,0.0,1.0,0.95,0.96,1.0,0.33,0.0
2080,Villapalacios,535.0,0.15,0.36,0.96,0.0,1.0,0.97,0.96,1.0,0.0,0.0
2081,Villarrobledo,14736.0,0.05,0.87,0.79,0.0,0.99,0.79,0.72,1.0,0.81,0.0
2082,Villatoya,271.0,0.0,0.99,0.9,0.0,1.0,0.94,0.9,1.0,0.77,0.0
2083,Villavaliente,224.0,0.0,0.05,0.93,0.0,1.0,0.93,0.0,1.0,0.0,0.0
2084,Villaverde de Guadalimar,447.0,0.19,0.99,0.68,0.0,0.86,0.0,0.0,1.0,0.05,0.0
2085,Viveros,392.0,0.0,0.98,0.98,0.0,1.0,0.0,0.93,1.0,0.0,0.0
2086,Yeste,3114.0,0.12,0.96,0.69,0.0,0.88,0.52,0.51,0.99,0.63,0.0
2901,Pozo Cañada,1490.0,0.1,0.97,0.9,0.0,1.0,0.9,0.86,1.0,1.0,0.0
3001,l'Atzúbia,589.0,0.0,0.91,0.66,0.0,0.8,0.51,0.48,0.99,0.0,0.0
3002,Agost,2891.0,0.1,0.75,0.7,0.0,0.98,0.68,0.62,0.99,0.94,0.0
3003,Agres,606.0,0.0,0.1,0.72,0.0,0.73,0.73,0.69,0.98,0.29,0.0
3004,Aigües,949.0,0.02,0.76,0.82,0.0,0.96,0.91,0.9,0.91,0.0,0.0
3005,Albatera,6610.0,0.07,0.86,0.76,0.0,1.0,0.94,0.69,0.99,0.95,0.0
3006,Alcalalí,1055.0,0.03,0.94,0.93,0.0,0.96,0.92,0.89,1.0,0.76,0.0
3007,Alcosser,218.0,0.0,1.0,0.42,0.0,1.0,0.45,0.41,1.0,1.0,0.0
3008,Alcoleja,215.0,0.0,1.0,0.93,0.0,0.93,0.93,0.93,1.0,0.03,0.0
3009,Alcoi/Alcoy,31563.0,0.1,0.98,0.98,0.75,0.99,0.98,0.95,1.0,0.98,0.0
3010,Alfafara,334.0,0.0,0.99,0.62,0.0,0.82,0.64,0.61,1.0,0.03,0.0
3011,l'Alfàs del Pi,12185.0,0.05,0.99,0.92,0.0,0.9,0.87,0.07,1.0,1.0,0.04
3012,Algorfa,4339.0,0.03,0.82,0.98,0.0,0.98,0.17,0.34,1.0,0.58,0.0
3013,Algueña,841.0,0.04,0.58,0.96,0.0,1.0,0.82,0.0,1.0,0.0,0.0
3014,Alacant/Alicante,186621.0,0.08,0.99,0.97,0.7,0.98,0.97,0.96,1.0,1.0,0.98
3015,Almoradí,10303.0,0.08,0.97,0.99,0.0,1.0,0.96,0.81,1.0,1.0,0.0
3016,Almudaina,121.0,0.0,1.0,0.81,0.0,0.86,0.81,0.78,1.0,0.16,0.0
3017,l'Alqueria d'Asnar,294.0,0.0,1.0,0.85,0.0,1.0,0.85,0.78,1.0,1.0,0.0
3018,Altea,16471.0,0.07,0.94,0.94,0.0,0.96,0.92,0.91,1.0,0.95,0.02
3019,Aspe,9073.0,0.08,0.99,0.94,0.0,0.99,0.93,0.18,1.0,0.94,0.0
3020,Balones,127.0,0.0,0.7,0.86,0.0,0.86,0.86,0.78,1.0,0.28,0.0
3021,Banyeres de Mariola,4392.0,0.09,0.99,0.87,0.0,0.94,0.84,0.67,1.0,1.0,0.0
3022,Benasau,178.0,0.0,0.99,0.74,0.0,0.75,0.75,0.71,1.0,0.88,0.0
3023,Beneixama,1334.0,0.06,0.96,0.87,0.0,1.0,0.83,0.47,1.0,1.0,0.0
3024,Benejúzar,2629.0,0.15,0.57,0.97,0.0,1.0,0.93,0.0,1.0,1.0,0.0
3025,Benferri,1110.0,0.0,0.21,0.73,0.0,1.0,0.47,0.45,1.0,0.89,0.0
3026,Beniarbeig,1383.0,0.15,1.0,0.87,0.0,0.97,0.89,0.87,1.0,1.0,0.0
3027,Beniardà,183.0,0.0,1.0,0.97,0.0,0.98,0.98,0.97,1.0,0.99,0.0
3028,Beniarrés,743.0,0.2,0.67,0.97,0.0,0.99,0.96,0.0,1.0,0.94,0.0
3029,Benigembla,366.0,0.0,0.81,0.77,0.0,0.89,0.77,0.78,1.0,0.16,0.0
3030,Benidoleig,911.0,0.08,1.0,0.77,0.0,1.0,0.0,0.74,1.0,0.78,0.0
3031,Benidorm,61182.0,0.03,1.0,0.97,0.0,0.98,0.97,0.94,1.0,1.0,0.98
