cmun,municipality_clean,province_clean,0-17,18-24,25-34,35-54,55+,male,female,total_population
1001,alegria-dulantzi,alegria-dulantzi,615,250,268,1005,827,1525,1440,2965
1002,amurrio,amurrio,1826,588,862,2961,4075,5134,5178,10312
1003,aramaio,aramaio,218,113,108,349,592,709,671,1380
1004,artziniega,artziniega,352,127,146,576,655,914,942,1856
1006,arminon,arminon,42,20,18,96,70,127,119,246
1008,arratzua-ubarrundia,arratzua-ubarrundia,168,71,90,286,431,551,495,1046
1009,asparrena,asparrena,229,110,145,444,685,814,799,1613
1010,ayala/aiara,ayala/aiara,550,208,226,945,1010,1490,1449,2939
1011,banos de ebro/manueta,banos de ebro/manueta,20,24,21,86,141,168,124,292
1013,barrundia,barrundia,120,74,55,267,363,490,389,879
1014,berantevilla,berantevilla,71,34,32,135,196,243,225,468
1016,bernedo,bernedo,63,25,42,165,249,318,226,544
1017,campezo/kanpezu,campezo/kanpezu,146,72,96,297,477,576,512,1088
1018,zigoitia,zigoitia,302,136,117,545,745,992,853,1845
1019,kripan,kripan,20,16,16,41,85,91,87,178
1020,kuartango,kuartango,66,10,25,109,199,229,180,409
1021,elburgo/burgelu,elburgo/burgelu,106,49,47,206,233,333,308,641
1022,elciego,elciego,157,61,83,260,392,477,476,953
1023,elvillar/bilar,elvillar/bilar,37,25,23,83,152,151,169,320
1027,iruraiz-gauna,iruraiz-gauna,71,42,51,166,220,298,252,550
1028,labastida/bastida,labastida/bastida,306,108,146,447,564,809,762,1571
1030,lagran,lagran,16,2,16,48,88,96,74,170
1031,laguardia,laguardia,223,96,147,432,593,794,697,1491
1032,lanciego/lantziego,lanciego/lantziego,135,37,72,186,259,356,333,689
1033,lapuebla de labarca,lapuebla de labarca,145,56,89,245,321,435,421,856
1034,leza,leza,31,14,14,68,83,107,103,210
1036,laudio/llodio,laudio/llodio,2716,1117,1474,5057,7606,8705,9265,17970
1037,arraia-maeztu,arraia-maeztu,149,42,51,267,314,451,372,823
1039,moreda de alava/moreda araba,moreda de alava/moreda araba,20,11,34,49,101,114,101,215
1041,navaridas,navaridas,29,11,29,48,86,114,89,203
1042,okondo,okondo,218,72,99,386,415,626,564,1190
1043,oyon-oion,oyon-oion,744,278,296,1059,1079,1747,1709,3456
