cmun,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other
01001,18,30,0,0,0,0,0,0
01002,63,89,7,10,5,86,46,51
01003,6,4,0,0,0,0,0,0
01004,5,14,0,0,0,0,0,0
01006,0,0,0,0,0,0,0,0
01008,0,0,0,0,0,0,0,0
01009,14,7,0,0,0,0,0,0
01010,26,27,0,0,0,0,0,0
01011,0,0,0,0,0,0,0,0
01013,0,0,0,0,0,0,0,0
01014,0,0,0,0,0,0,0,0
01016,0,0,0,0,0,0,0,0
01017,6,12,0,0,0,0,0,0
01018,16,18,0,0,0,0,0,0
01019,0,0,0,0,0,0,0,0
01020,0,0,0,0,0,0,0,0
01021,0,0,0,0,0,0,0,0
01022,0,0,0,0,0,0,0,0
01023,0,0,0,0,0,0,0,0
01027,0,0,0,0,0,0,0,0
01028,17,11,0,0,0,0,0,0
01030,0,0,0,0,0,0,0,0
01031,74,26,0,0,0,0,0,0
01032,0,0,0,0,0,0,0,0
01033,0,0,0,0,0,0,0,0
01034,0,0,0,0,0,0,0,0
01036,69,95,14,11,9,81,78,81
01037,0,0,0,0,0,0,0,0
01039,0,0,0,0,0,0,0,0
01041,0,0,0,0,0,0,0,0
01042,10,10,0,0,0,0,0,0
01043,56,28,0,0,0,0,0,0
01044,0,0,0,0,0,0,0,0
01046,0,0,0,0,0,0,0,0
01047,6,11,0,0,0,0,0,0
01049,0,0,0,0,0,0,0,0
01051,16,23,4,0,0,16,19,36
01052,0,0,0,0,0,0,0,0
01053,0,0,0,0,0,0,0,0
01054,13,7,0,0,0,0,0,0
01055,4,11,0,0,0,0,0,0
01056,0,0,0,0,0,0,0,0
01057,0,0,0,0,0,0,0,0
01058,73,20,0,0,0,0,0,0
01059,916,1.527,323,250,237,2.453,1.241,1.454
01060,0,0,0,0,0,0,0,0
01061,0,0,0,0,0,0,0,0
01062,0,0,0,0,0,0,0,0
01063,9,17,0,0,0,0,0,0
01901,20,42,0,0,0,0,0,0
01902,0,0,0,0,0,0,0,0
02001,0,0,0,0,0,0,0,0
02002,0,0,0,0,0,0,0,0
02003,804,1.221,179,315,809,1.983,1.164,1.270
02004,0,0,0,0,0,0,0,0
02005,0,0,0,0,0,0,0,0
02006,0,0,0,0,0,0,0,0
02007,7,9,0,0,0,0,0,0
02008,5,12,0,0,0,0,0,0
02009,246,145,13,43,91,230,121,171
02010,16,25,0,0,0,0,0,0
02011,0,0,0,0,0,0,0,0
02012,22,23,0,0,0,0,0,0
02013,0,0,0,0,0,0,0,0
02014,0,0,0,0,0,0,0,0
02015,16,12,0,0,0,0,0,0
02016,0,0,0,0,0,0,0,0
02017,0,0,0,0,0,0,0,0
02018,0,0,0,0,0,0,0,0
02019,13,27,0,0,0,0,0,0
02020,0,0,0,0,0,0,0,0
02021,5,17,0,0,0,0,0,0
02022,0,0,0,0,0,0,0,0
02023,0,0,0,0,0,0,0,0
02024,43,63,0,0,0,0,0,0
02025,68,115,0,0,36,72,48,71
02026,6,14,0,0,0,0,0,0
02027,0,0,0,0,0,0,0,0
02028,0,0,0,0,0,0,0,0
02029,47,39,0,0,0,0,0,0
02030,28,52,0,0,0,0,0,0
02031,0,0,0,0,0,0,0,0
02032,0,0,0,0,0,0,0,0
02033,16,25,0,0,0,0,0,0
02034,4,33,0,0,0,0,0,0
02035,28,21,0,0,0,0,0,0
02036,0,0,0,0,0,0,0,0
02037,143,217,12,42,84,197,125,183
02038,0,0,0,0,0,0,0,0
02039,13,11,0,0,0,0,0,0
02040,0,0,0,0,0,0,0,0
02041,0,0,0,0,0,0,0,0
02042,0,0,0,0,0,0,0,0
02043,18,12,0,0,0,0,0,0
02044,5,8,0,0,0,0,0,0
02045,54,43,0,0,0,0,0,0
02046,15,16,0,0,0,0,0,0
02047,0,0,0,0,0,0,0,0
02048,13,17,0,0,0,0,0,0
02049,0,0,0,0,0,0,0,0
02050,0,0,0,0,0,0,0,0
02051,53,13,0,0,0,0,0,0
02052,0,0,0,0,0,0,0,0
02053,13,56,0,0,0,0,0,0
02054,0,0,0,0,0,0,0,0
02055,8,21,0,0,0,0,0,0
02056,15,27,0,0,0,0,0,0
02057,33,27,0,0,0,0,0,0
02058,0,0,0,0,0,0,0,0
02059,0,0,0,0,0,0,0,0
02060,18,7,0,0,0,0,0,0
02061,0,0,0,0,0,0,0,0
02062,0,0,0,0,0,0,0,0
02063,13,19,0,0,0,0,0,0
02064,0,0,0,0,0,0,0,0
02065,0,0,0,0,0,0,0,0
02066,0,0,0,0,0,0,0,0
02067,10,25,0,0,0,0,0,0
02068,0,0,0,0,0,0,0,0
02069,117,100,15,18,70,114,70,108
02070,0,0,0,0,0,0,0,0
02071,5,7,0,0,0,0,0,0
02072,17,15,0,0,0,0,0,0
02073,37,82,0,0,7,30,16,34
02074,58,70,0,0,13,37,21,48
02075,10,23,0,0,0,0,0,0
02076,0,0,0,0,0,0,0,0
02077,0,0,0,0,0,0,0,0
02078,7,13,0,0,0,0,0,0
02079,25,50,0,0,0,0,0,0
02080,0,0,0,0,0,0,0,0
02081,131,231,22,37,72,140,92,178
02082,0,0,0,0,0,0,0,0
02083,0,0,0,0,0,0,0,0
02084,0,0,0,0,0,0,0,0
02085,0,0,0,0,0,0,0,0
02086,9,22,0,0,0,0,0,0
02901,12,35,0,0,0,0,0,0
03001,0,0,0,0,0,0,0,0
03002,38,41,0,0,12,28,23,36
03003,0,0,0,0,0,0,0,0
03004,0,0,0,0,0,0,0,0
03005,62,71,9,18,18,90,63,78
03006,4,26,0,0,0,0,0,0
03007,0,0,0,0,0,0,0,0
03008,0,0,0,0,0,0,0,0
03009,312,419,67,94,237,618,317,428
03010,0,0,0,0,0,0,0,0
03011,45,251,41,42,207,312,128,177
03012,13,31,0,0,0,0,0,0
03013,18,5,0,0,0,0,0,0
