cmun,municipality,count_of_stations,suburban_train
1002,Amurrio,5,yes
1009,Asparrena,1,no
1010,Ayala/Aiara,1,yes
1036,Laudio/Llodio,3,yes
1046,Erriberagoitia/Ribera Alta,2,yes
1047,Ribera Baja/Erribera Beitia,1,no
1051,Salvatierra/Agurain,1,no
1054,Urkabustaiz,2,no
1061,Zalduondo,1,no
1901,Iruña Oka/Iruña De Oca,2,no
2003,Albacete,1,no
2009,Almansa,1,no
2010,Alpera,1,no
2018,Bonete,1,no
2025,Caudete,2,no
2035,Gineta (La),1,no
2037,Hellín,5,no
2048,Minaya,1,no
2069,Roda (La),1,no
2074,Tobarra,2,no
2081,Villarrobledo,2,no
2901,Pozo Cañada,1,no
3002,Agost,1,no
3003,Agres,1,no
3009,Alcoy/Alcoi,1,no
3011,Alfàs Del Pi (L'),1,no
3014,Alicante/Alacant,17,yes
3018,Altea,5,no
3031,Benidorm,5,no
3041,Benissa,2,no
3047,Calp,2,no
3049,Callosa De Segura,2,yes
3050,Campello (El),9,no
3056,Cocentaina,1,no
3059,Crevillent,1,yes
3063,Dénia,5,no
3065,Elche/Elx,7,yes
3066,Elda,1,no
3071,Gata De Gorgos,1,no
3076,Guardamar Del Segura,3,no
3082,Jávea/Xàbia,1,no
3088,Monforte Del Cid,1,no
3089,Monóvar/Monòver,1,no
3093,Novelda,1,no
3099,Orihuela,1,yes
3121,Santa Pola,4,no
3122,San Vicente Del Raspeig/Sant Vicent Del Raspeig,2,yes
3123,Sax,1,no
3128,Teulada,1,no
3133,Torrevieja,6,no
3139,Villajoyosa/Vila Joiosa (La),8,no
3140,Villena,4,yes
3902,Pilar De La Horadada,3,no
3904,San Isidro,1,yes
4001,Abla,1,no
4006,Albox,1,no
4008,Alcóntar,1,no
4013,Almería,1,no
4017,Arboleas,1,no
4024,Benahadux,1,no
4031,Cantoria,1,no
4044,Fines,1,no
4045,Fiñana,1,no
4047,Gádor,1,no
4050,Gérgal,2,no
4052,Huércal De Almería,1,no
4063,María,1,no
4065,Nacimiento,1,no
4075,Pulpí,2,yes
4076,Purchena,1,no
4079,Roquetas De Mar,3,no
4081,Santa Fe De Mondújar,1,no
4083,Serón,1,no
4092,Tíjola,1,no
4103,Zurgena,1,no
5001,Adanero,2,no
5016,Arévalo,1,no
5017,Aveinte,1,no
5019,Ávila,3,no
5035,Blascosancho,2,no
5049,Cardeñosa,1,no
5065,Crespos,1,no
5072,Espinosa De Los Caballeros,1,no
5093,Herradón De Pinares,2,no
5128,Mingorría,1,no
5133,Monsalupe,1,no
5147,Narros Del Castillo,1,no
5161,Navalperal De Pinares,1,no
5168,Navas Del Marqués (Las),1,no
