cmun,municipality,count_of_stations,suburban_train
1002,Amurrio,5,1
1009,Asparrena,1,0
1010,Ayala/Aiara,1,1
1036,Laudio/Llodio,3,1
1046,Erriberagoitia/Ribera Alta,2,1
1047,Ribera Baja/Erribera Beitia,1,0
1051,Salvatierra/Agurain,1,0
1054,Urkabustaiz,2,0
1061,Zalduondo,1,0
1901,Iruña Oka/Iruña De Oca,2,0
2003,Albacete,1,0
2009,Almansa,1,0
2010,Alpera,1,0
2018,Bonete,1,0
2025,Caudete,2,0
2035,Gineta (La),1,0
2037,Hellín,5,0
2048,Minaya,1,0
2069,Roda (La),1,0
2074,Tobarra,2,0
2081,Villarrobledo,2,0
2901,Pozo Cañada,1,0
3002,Agost,1,0
3003,Agres,1,0
3009,Alcoy/Alcoi,1,0
3011,Alfàs Del Pi (L'),1,0
3014,Alicante/Alacant,17,1
3018,Altea,5,0
3031,Benidorm,5,0
3041,Benissa,2,0
3047,Calp,2,0
3049,Callosa De Segura,2,1
3050,Campello (El),9,0
3056,Cocentaina,1,0
3059,Crevillent,1,1
3063,Dénia,5,0
3065,Elche/Elx,7,1
3066,Elda,1,0
3071,Gata De Gorgos,1,0
3076,Guardamar Del Segura,3,0
3082,Jávea/Xàbia,1,0
3088,Monforte Del Cid,1,0
3089,Monóvar/Monòver,1,0
3093,Novelda,1,0
3099,Orihuela,1,1
3121,Santa Pola,4,0
3122,San Vicente Del Raspeig/Sant Vicent Del Raspeig,2,1
3123,Sax,1,0
3128,Teulada,1,0
3133,Torrevieja,6,0
3139,Villajoyosa/Vila Joiosa (La),8,0
3140,Villena,4,1
3902,Pilar De La Horadada,3,0
3904,San Isidro,1,1
4001,Abla,1,0
4006,Albox,1,0
4008,Alcóntar,1,0
4013,Almería,1,0
4017,Arboleas,1,0
4024,Benahadux,1,0
4031,Cantoria,1,0
4044,Fines,1,0
4045,Fiñana,1,0
4047,Gádor,1,0
4050,Gérgal,2,0
4052,Huércal De Almería,1,0
4063,María,1,0
4065,Nacimiento,1,0
4075,Pulpí,2,1
4076,Purchena,1,0
4079,Roquetas De Mar,3,0
4081,Santa Fe De Mondújar,1,0
4083,Serón,1,0
4092,Tíjola,1,0
4103,Zurgena,1,0
5001,Adanero,2,0
5016,Arévalo,1,0
5017,Aveinte,1,0
5019,Ávila,3,0
5035,Blascosancho,2,0
5049,Cardeñosa,1,0
5065,Crespos,1,0
5072,Espinosa De Los Caballeros,1,0
5093,Herradón De Pinares,2,0
5128,Mingorría,1,0
5133,Monsalupe,1,0
5147,Narros Del Castillo,1,0
5161,Navalperal De Pinares,1,0
5168,Navas Del Marqués (Las),1,0
5178,Palacios De Goda,1,0
5220,San Pedro Del Arroyo,1,0
6011,Almendralejo,1,0
6015,Badajoz,3,0
6020,Bienvenida,1,0
6021,Bodonal De La Sierra,1,0
6023,Cabeza Del Buey,2,0
6025,Calamonte,1,0
6028,Campanario,1,0
6031,Carmonita,1,0
6036,Castuera,1,0
6043,Don Álvaro,1,0
6044,Don Benito,1,0
6050,Fregenal De La Sierra,1,0
6053,Fuente Del Arco,1,0
6058,Garrovilla (La),3,0
6060,Guareña,1,0
6074,Llerena,1,0
6075,Magacela,1,0
6080,Medellín,1,0
6081,Medina De Las Torres,1,0
6083,Mérida,4,0
6088,Montijo,3,0
6108,Puebla De Sancho Pérez,2,0
6109,Quintana De La Serena,1,0
6110,Reina,1,0
6122,Santos De Maimona (Los),1,0
6123,San Vicente De Alcántara,1,0
6133,Torremejía,1,0
6138,Valdetorres,1,0
6141,Valencia Del Ventoso,1,0
6149,Villafranca De Los Barros,1,0
6150,Villagarcía De La Torre,1,0
6151,Villagonzalo,1,0
6153,Villanueva De La Serena,1,0
6158,Zafra,2,0
6162,Zarza (La),1,0
8002,Aguilar De Segarra,1,0
8006,Arenys De Mar,1,1
8015,Badalona,1,1
8017,Balenyà,2,1
8019,Barcelona,28,1
8029,Cabrera De Mar,1,1
8031,Calaf,1,0
8032,Caldes D'Estrac,1,1
8035,Calella,1,1
8040,Canet De Mar,1,1
8046,Cardedeu,1,1
8053,Castellbell I El Vilar,1,1
8054,Castellbisbal,1,1
8056,Castelldefels,2,1
8067,Centelles,1,1
8073,Cornellà De Llobregat,2,1
8074,Cubelles,1,1
8086,Franqueses Del Vallès (Les),3,1
8088,Garriga (La),1,1
8089,Gavà,1,1
8091,Gelida,1,1
8094,Granada (La),1,1
8096,Granollers,3,1
8097,Gualba,1,1
8101,Hospitalet De Llobregat (L'),2,1
8105,Llagosta (La),1,1
8106,Llinars Del Vallès,1,1
8110,Malgrat De Mar,1,1
8112,Manlleu,1,1
8113,Manresa,2,1
8114,Martorell,1,1
8118,Masnou (El),2,1
8121,Mataró,1,1
8123,Molins De Rei,1,1
8124,Mollet Del Vallès,2,1
8125,Montcada I Reixac,6,1
8126,Montgat,2,1
8131,Montesquiu,1,1
8135,Montmeló,1,1
8147,Olesa De Montserrat,1,1
8158,Papiol (El),1,1
8159,Parets Del Vallès,1,1
8163,Pineda De Mar,1,1
8169,Prat De Llobregat (El),2,1
