school_id,public_private,type,name,latitude,longitude
1,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Abarzuza Zumadia HLHIP,42.7262904749256,-2.02217616579766
2,Public,Escuela pública de música,Esc. Mús. Púb. Ablitas,41.9752969594714,-1.64006195359679
3,Public,Escuela infantil,EI Ablitas Mi Cole,41.9747191108286,-1.6410889386374
4,Public,Colegio de educación infantil y primaria,CPEIP Ablitas S. Babil HLHIP,41.9740471341767,-1.64172757845852
5,Public,Colegio de educación infantil y primaria,CPEIP Aibar G. V. Casamayor HLHIP,42.5907532299435,-1.36180154061417
6,Public,Escuela infantil,EI Allo,42.5700025747259,-2.02050281401653
7,Public,Colegio de educación infantil y primaria,CPEIP Allo La Cruz HLHIP,42.5699125302172,-2.02050422302117
8,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Almandoz HLHIP,43.0899985673389,-1.60604465014367
9,Public,Instituto de educación secundaria/bigarren hezkuntzako institutua,IES Altsasu BHI,42.9050325930026,-2.1657178061472
10,Public,Escuela pública de música y danza,Esc. Mús. Púb. Altsasu,42.8946151531638,-2.17311793880378
11,Public,Aula de educación de adultos,CEBA Alsasua,42.8998593414186,-2.17318308783329
12,Public,Centro integrado politécnico,CIP Altsasu FP Sakana LH IIP,42.8997692983246,-2.17318429101853
13,Charter,Centro privado de educación infantil y primaria,Ik Altsasu Iñigo Aritza,42.9046546021797,-2.16500776831257
14,Charter,Centro privado de educación infantil y primaria,C.Con. Alsasua Sg. Corazón,42.8930922703892,-2.17885829860468
15,Charter,Centro privado de educación secundaria obligatoria,Ik Altsasu Sakana,42.9065261745983,-2.16367934864406
16,Charter,Centro privado de educación secundaria obligatoria,C.Con. Alsasua Seminario,42.8931823137172,-2.17885710395447
17,Private,Centro privado de educación infantil,C. Pri. EI Altsasu Txioka HE,42.8960872024619,-2.16429676007027
18,Public,Escuela infantil,EI Altsasu Txirinbulo HE,42.893496739566,-2.17088106475789
19,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Altsasu Zelandi HLHIP,42.8975583573931,-2.17332296456166
20,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Amaiur/Maya HLHIP,43.2017887510602,-1.47817275698439
21,Public,Colegio de educación infantil y primaria,CPEIP Ancín Lokiz HLHIP,42.6588242980278,-2.18931390154868
22,Public,Escuela infantil,EI Andosilla,42.3761113993854,-1.94570632127126
23,Public,Colegio de educación infantil y primaria,CPEIP Andosilla V. Cerca HLHIP,42.3764091947807,-1.94529176359482
24,Public,Escuela pública de música,Esc. Mús. Púb. Ansoáin,42.8349757871117,-1.63799777967681
25,Public,Escuela infantil,EI Ansoáin S. Cristóbal HE,42.8348857590908,-1.63799975705883
26,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Ansoain Ezkaba HLHIP,42.8341981090972,-1.63910394808745
27,Public,Colegio de educación infantil y primaria,CPEIP Añorbe HLHIP,42.6600663781277,-1.71542670790165
28,Public,Escuela infantil,EI Aoiz,42.7886291489621,-1.37014152296643
29,Public,Instituto de educación secundaria obligatoria/derrigorrezko bigarren hezkuntzako institutua,IESO Aoiz DBHI,42.7877443970556,-1.37242684923403
30,Public,Escuela pública de música,Esc. Mús. Púb. Aoiz M. García,42.784989251239,-1.36964677706666
31,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Aoiz S. Miguel HLHIP,42.7874613851771,-1.3718139064772
32,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Arantza HLHIP,43.1969246911806,-1.72514588835208
33,Charter,Centro privado de educación infantil,Ik Arbizu Andra Mari,42.9137235568002,-2.03968969710724
34,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Arbizuko Herri Eskola HLHIP,42.9144078594423,-2.0395612112535
35,Public,Escuela infantil,EI Arbizu Kattuka,42.9128605179073,-2.03809316052457
36,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Areso Nazabal HLHIP,43.0814790716008,-1.94974257546436
37,Public,Escuela infantil,EI Arguedas,42.1692784985389,-1.59045166682789
38,Public,Colegio de educación infantil y primaria,CPEIP Arguedas Sancho Ramírez,42.1697147930838,-1.59099718642917
39,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Arizkun HLHIP,43.1722416496281,-1.48616124393202
40,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Arraioz HLHIP,43.1402750546604,-1.56446264618445
41,Public,Colegio de educación infantil y primaria,CPEIP Arróniz La Balsa HLHIP,42.5903555015431,-2.08925681360688
42,Public,Escuela infantil,EI Artajona,42.5891689512805,-1.76038751036965
43,Public,Escuela pública de música,Esc. Mús. Púb. Artajona,42.5900187522981,-1.76422527832797
44,Public,Colegio de educación infantil y primaria,CPEIP Artajona Urraca Reina HLHIP,42.5890789150067,-1.76038929469331
45,Public,Escuela infantil,EI Berrioplano Artica,42.8328500645328,-1.65992388215726
46,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Auritz/Burguete HLHIP,42.9893347823706,-1.33568640706858
47,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Auzperri/Espinal HLHIP,42.9791813090838,-1.37015373485311
48,Public,Escuela infantil,EI Aurizberri/Espinal Haurtxoen Txokoa HE,42.9792900966258,-1.37063492894921
49,Private,Centro privado de educación infantil,C. Pri. EI Ayegui Mater Dei,42.6595642511505,-2.03442309115455
50,Charter,Centro privado de educación infantil y primaria,C.Con. Ayegui Mater Dei,42.6594742076823,-2.03442448449382
51,Public,Escuela infantil,EI Azagra,42.3091211501407,-1.89650400492043
52,Public,Escuela pública de música,Esc. Mús. Púb. Azagra,42.3066213415157,-1.89367143704918
53,Public,Colegio de educación infantil y primaria,CPEIP Azagra Fr. Arbeloa,42.3109165726967,-1.89878788261648
54,Public,Instituto de educación secundaria obligatoria,IESO Azagra Reyno de Navarra,42.3110066178077,-1.89878631283281
55,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Azpilkueta HLHIP,43.1846133930831,-1.50911143964647
56,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Barañain Alaiz HLHIP,42.8040136605453,-1.68265978357683
57,Public,Instituto de educación secundaria/bigarren hezkuntzako institutua,IES Barañain Alaiz BHI,42.8028660620292,-1.68111326867334
58,Public,Instituto de educación secundaria,IES Barañáin BHI,42.8044179807998,-1.68163369179102
59,Public,Escuela infantil,EI Barañáin I,42.802742328818,-1.68241147771802
60,Public,Escuela infantil,EI Barañáin II HE,42.8013081764352,-1.69453539252416
61,Public,Colegio de educación infantil y primaria,CPEIP Barañáin Eulza HLHIP,42.8009271014405,-1.69231234195194
62,Public,Colegio de educación infantil y primaria,CPEIP Barañáin Los Sauces HLHIP,42.8050629343036,-1.67903203893604
63,Public,Escuela pública de música,Esc. Mús. Púb. Barañáin L. Morondo,42.8046488165294,-1.68864671249713
64,Charter,"Centro privado de educación infantil, primaria y eso",C.Con. Barañáin Sta. Luisa Marillac,42.8052921116444,-1.67661420677999
65,Public,Colegio de educación infantil y primaria,CPEIP Barásoain M. Azpilcueta HLHIP,42.6048923298892,-1.64320419292294
66,Public,Colegio de educación infantil y primaria,CPEIP Beire HLHIP,42.4534782210044,-1.62122615915017
67,Charter,Centro privado de educación infantil y primaria,C.Con. Bera Sg. Corazón,43.2816463840043,-1.68453921907331
68,Public,Escuela pública de música,Esc. Mús. Púb. Bera I. Fagoaga,43.2817720201601,-1.68323450404393
69,Charter,Centro privado de educación infantil y primaria,Ik Bera Labiaga,43.2798446486077,-1.68232338690839
70,Public,Escuela infantil,EI Bera Mukixu,43.2807078654092,-1.68106180576464
71,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Bera Ricardo Baroja HLHIP,43.2815057527338,-1.67996120888407
72,Public,Instituto de educación secundaria/bigarren hezkuntzako institutua,IES Bera Toki-Ona BHI,43.2801939401441,-1.68151141924615
73,Public,Colegio de educación infantil y primaria,CPEIP Berbinzana Rio Arga HLHIP,42.5289360489776,-1.83438458029638
74,Public,Colegio de educación infantil y primaria,CPEIP Beriain,42.739776945252,-1.63591631560391
75,Public,Escuela infantil,EI Berrioplano Berriosuso,42.8589144159718,-1.68861290876542
76,Public,Escuela pública de música,Esc. Mús. Púb. Berriozar F. Casanova,42.8343425252037,-1.67445346965615
77,Public,Instituto de educación secundaria obligatoria/derrigorrezko bigarren hezkuntzako institutua,IESO Berriozar DBHI,42.8352165522504,-1.67100350656815
78,Public,Colegio de educación infantil y primaria,CPEIP Berriozar Mendialdea I HLHIP,42.8416563767181,-1.66619201463107
79,Public,Colegio de educación infantil y primaria,CPEIP Berriozar Mendialdea II HLHIP,42.8417464056764,-1.66619007771351
80,Public,Escuela infantil,EI Berriozar Urtxintxa,42.8361006874894,-1.66633477287774
81,Charter, ,ORG Berriozar Lantxotegi,42.8439172706934,-1.66960242090069
82,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Betelu Araxes HLHIP,43.0246398609521,-1.98074488160931
83,Public,Escuela infantil,EI Betelu Sorgintxo HE,43.0253557350756,-1.98098538208181
84,Public,Escuela infantil,EI Buñuel,41.9777136972773,-1.44604385791296
85,Public,Escuela pública de música,Esc. Mús. Púb. Buñuel,41.9804067435992,-1.44433291022998
86,Public,Colegio de educación infantil y primaria,CPEIP Buñuel Sta. Ana,41.9778607229762,-1.44584076451418
87,Charter,Centro privado de educación infantil y primaria,C.Con. Burlada Amor de Dios,42.8232886787405,-1.61958976483855
88,Charter,Centro privado de educación secundaria obligatoria,C.Con. Burlada Amor - Regina,42.8249848827695,-1.61438583356944
89,Public,Instituto de educación secundaria/bigarren hezkuntzako institutua,IES Burlada Askatasuna BHI,42.8244568882063,-1.61122544617561
90,Public,Centro integrado,CI Burlada FP,42.8264866956911,-1.61255853187539
91,Public,Colegio público de educación infantil y primaria/haur eta lehen hezkuntzako ikastetxe publikoa,CPEIP Burlada Ermitaberri HLHIP,42.8247973226222,-1.61449144050268
92,Public,Escuela infantil,EI Burlada HE,42.8250424741457,-1.621506302977
93,Public,Colegio de educación infantil y primaria,CPEIP Burlada Hilarión Eslava,42.8248762098042,-1.61944873839846
94,Public,Escuela pública de música,Esc. Mús. Púb. Burlada Hilarión Eslava,42.8226183104974,-1.61382666241559
95,Public,Instituto de educación secundaria,IES Burlada Ibaialde BHI,42.8258108980895,-1.61291852141436
96,Private,Centro privado de educación infantil,C. Pri. EI Burlada Irabia-Izaga,42.8278927308495,-1.62627380069542
97,Charter,Centro privado de educación infantil primaria y secundaria,C.Con. Burlada Irabia-Izaga,42.8278027031576,-1.62627579460168
