hospital_name,municipality,cmun,n_beds,type,management,latitude,longitude
Red De Salud Mental De Araba (Hospital Psiquiátrico De Araba),vitoria-gasteiz,10590,207,Psychiatric,Autonomous Community,42.8356562870001,-2.67861197099995
Hospital San José,vitoria-gasteiz,10590,63,Medical-surgical,Private Non-Profit,42.8496614530001,-2.67664049999996
Hospital Quirónsalud Vitoria,vitoria-gasteiz,10590,26,General,Private Non-Profit,42.84976126,-2.66803516399995
"Hospital De Cuidados San Onofre, S.L. (Hospital De Cuidados San Onofre)",vitoria-gasteiz,10590,82,Geriatrics and/or long-term care,Private Non-Profit,42.837581582,-2.68038623299998
Hospital De Leza,laguardia,10318,63,General,Autonomous Community,42.5759894380001,-2.63863544199995
Hospital Universitario De Araba (Sede Txagorritxu Y Sede Santiago),vitoria-gasteiz,10590,811,General,Social Security,42.8549897730001,-2.69020705599996
Complejo Hospitalario Universitario De Albacete,albacete,20030,705,General,Social Security,38.985256377,-1.84655696499993
Hospital General Universitario De Albacete,albacete,20030,0,General,Social Security,38.9832550680001,-1.85066961599995
Clínica Santa Cristina Albacete,albacete,20030,42,General,Private Non-Profit,38.9897934000001,-1.85770989599996
Hospital De Hellín,hellín,20371,135,General,Social Security,38.504304817,-1.68918989199994
Quironsalud Hospital Albacete,albacete,20030,65,General,Private Non-Profit,38.985418844,-1.84400678299994
Hospital Universitario Nuestra Señora Del Perpetuo Socorro,albacete,20030,0,General,Social Security,38.989561838,-1.87211015199995
Hospital General De Almansa,almansa,20096,93,General,Autonomous Community,38.8794026050001,-1.09390853199994
Hospital General De Villarobledo,villarrobledo,20812,114,General,Autonomous Community,39.2800841100001,-2.60269739799998
"Centro De Atención A La Salud Mental ""La Milagrosa""",albacete,20030,0,Psychiatric,Provincial Council or Island Council,39.0076815960001,-1.88065043699993
Hospital General Universitario De Alicante,alicante/alacant,30149,794,General,Autonomous Community,38.363363964,-0.48593452199998
Clínica Vistahermosa Grupo Hla,alicante/alacant,30149,106,General,Private Non-Profit,38.3628653640001,-0.463124377999975
Vithas Hospital Perpetuo Internacional,alicante/alacant,30149,103,General,Private Non-Profit,38.352893867,-0.476504659999932
Hospital Virgen De Los Lirios,alcoy/alcoi,30092,305,General,Autonomous Community,38.7051247730001,-0.465683971999965
Sanatorio San Jorge S.L.,alcoy/alcoi,30092,26,General,Private Non-Profit,38.6929737350001,-0.486100178999948
Hospital Clínica Benidorm,benidorm,30319,166,General,Private Non-Profit,38.5426678680001,-0.127031808999959
Hospital San Carlos De Denia Grupo Hla,dénia,30633,31,General,Private Non-Profit,38.8373052420001,0.0934203180000281
Hospital General Universitario De Elche,elche/elx,30651,492,General,Autonomous Community,38.2600928200001,-0.685241062999978
Hospital General Universitario De Elda-Virgen De La Salud,elda,30664,513,General,Autonomous Community,38.4935283360001,-0.805971980999971
Hospital Sant Vicent Del Raspeig,san vicente del raspeig/sant vicent del raspeig,31225,179,Geriatrics and/or long-term care,Autonomous Community,38.403364943,-0.530502672999944
Sanatorio San Francisco De Borja Fontilles,"vall de laguar, la",31376,96,Geriatrics and/or long-term care,Other Private Non-Profit,38.771915,-0.136456657999929
Hospital Marina Baixa De La Vila Joiosa,"villajoyosa/vila joiosa, la",31395,286,General,Autonomous Community,38.5301280640001,-0.198289258999978
Hospital Vega Baja De Orihuela,orihuela,30993,361,General,Autonomous Community,38.0882077110001,-0.853941504999966
"Hospital Internacional Medimar, S.A.",alicante/alacant,30149,66,General,Private Non-Profit,38.3714722340001,-0.456596158999957
Hospital Psiquiátrico Penitenciario De Fontcalent,alicante/alacant,30149,432,Psychiatric,Ministry of Interior,38.3343175000001,-0.602231920999941
