cmun,municipality,municipality_1,municipality_2,province,autonomous_community,latitude,longitude,altitude
1001,Alegría-Dulantzi,alegriadulantzi,,Álava,País Vasco,42.84149,-2.513507,561.6857
1002,Amurrio,amurrio,,Álava,País Vasco,43.05265,-3.001022,219.691
1003,Aramaio,aramaio,,Álava,País Vasco,43.054,-2.566,381.8797
1004,Artziniega,artziniega,,Álava,País Vasco,43.1222,-3.128209,196.9808
1006,Armiñón,arminon,,Álava,País Vasco,42.72305,-2.872574,463.5815
1009,Asparrena,asparrena,,Álava,País Vasco,42.89567,-2.321,631.652
1010,Ayala/Aiara,ayala,,Álava,País Vasco,43.08333,-3.063056,300.2789
1011,Baños de Ebro/Mañueta,banosdeebro,,Álava,País Vasco,42.53029,-2.679144,428.0221
1013,Barrundia,barrundia,,Álava,País Vasco,42.91669,-2.491817,555.0674
1014,Berantevilla,berantevilla,,Álava,País Vasco,42.68245,-2.860401,468.8318
1016,Bernedo,bernedo,,Álava,País Vasco,42.62669,-2.497532,713.1542
1017,Campezo/Kanpezu,campezo,,Álava,País Vasco,42.69194,-2.37,742.2458
1018,Zigoitia,zigoitia,,Álava,País Vasco,42.9682,-2.7183,599.7416
1019,Kripan,kripan,,Álava,País Vasco,42.59167,-2.516079,695.0848
1020,Kuartango,kuartango,,Álava,País Vasco,42.87139,-2.885556,572.6608
1021,Elburgo/Burgelu,elburgo,,Álava,País Vasco,42.84956,-2.544762,540.8835
1022,Elciego,elciego,,Álava,País Vasco,42.51507,-2.618277,461.4185
1023,Elvillar/Bilar,elvillar,,Álava,País Vasco,42.5705,-2.544915,592.0
1027,Iruraiz-Gauna,iruraizgauna,,Álava,País Vasco,42.82207,-2.495043,601.8067
1028,Labastida/Bastida,labastida,,Álava,País Vasco,42.59042,-2.793166,547.173
1030,Lagrán,lagran,,Álava,País Vasco,42.6264,-2.58382,749.7421
1031,Laguardia,laguardia,,Álava,País Vasco,42.55428,-2.584237,629.8966
1032,Lanciego/Lantziego,lanciego,,Álava,País Vasco,42.56262,-2.513204,548.5494
1033,Lapuebla de Labarca,lapuebladelabarca,,Álava,País Vasco,42.49467,-2.575167,445.6386
1034,Leza,leza,,Álava,País Vasco,42.56607,-2.633635,573.1453
1036,Laudio/Llodio,laudio,,Álava,País Vasco,43.14333,-2.962985,127.9116
1037,Arraia-Maeztu,arraiamaeztu,,Álava,País Vasco,42.73981,-2.44598,657.7902
1039,Moreda de Álava/Moreda Araba,moredadealava,,Álava,País Vasco,42.52802,-2.40767,463.9432
1041,Navaridas,navaridas,,Álava,País Vasco,42.54517,-2.624532,524.3116
1042,Okondo,okondo,,Álava,País Vasco,43.16222,-3.018889,145.3144
1043,Oyón-Oion,oyonoion,,Álava,País Vasco,42.50614,-2.436965,437.9938
1044,Peñacerrada-Urizaharra,penacerradaurizaharra,,Álava,País Vasco,42.6441,-2.713375,749.8625
1046,Erriberagoitia/Ribera Alta,erriberagoitia,,Álava,País Vasco,42.71577,-2.968477,479.5812
1047,Ribera Baja/Erriberabeitia,riberabaja,,Álava,País Vasco,42.71267,-2.918541,478.6605
1049,Añana,anana,,Álava,País Vasco,42.80235,-2.982607,628.5115
1052,Samaniego,samaniego,,Álava,País Vasco,42.56983,-2.680185,578.5411
1053,San Millán/Donemiliaga,sanmillan,,Álava,País Vasco,42.87472,-2.376111,596.2991
1054,Urkabustaiz,urkabustaiz,,Álava,País Vasco,42.97194,-2.922222,680.2825
1055,Valdegovía/Gaubea,valdegovia,,Álava,País Vasco,42.85,-3.1,574.0443
1056,Harana/Valle de Arana,harana,,Álava,País Vasco,42.75673,-2.321858,831.0966
1057,Villabuena de Álava/Eskuernaga,villabuenadealava,,Álava,País Vasco,42.54872,-2.665456,486.5453
1059,Vitoria-Gasteiz,vitoriagasteiz,,Álava,País Vasco,42.84641,-2.667893,534.3582
1060,Yécora/Iekora,yecora,,Álava,País Vasco,42.5693,-2.470064,688.1754
1061,Zalduondo,zalduondo,,Álava,País Vasco,42.88563,-2.347254,608.8599
1062,Zambrana,zambrana,,Álava,País Vasco,42.65998,-2.879353,455.7371
1063,Zuia,zuia,,Álava,País Vasco,42.98167,-2.844,803.4551
1901,Iruña Oka/Iruña de Oca,irunaoka,,Álava,País Vasco,42.81917,-2.807778,498.6791
1902,Lantarón,lantaron,,Álava,País Vasco,42.75667,-2.987556,615.6439
2001,Abengibre,abengibre,,Albacete,Castilla La Mancha,39.20999,-1.544182,635.9763
2002,Alatoz,alatoz,,Albacete,Castilla La Mancha,39.09464,-1.361155,856.581
