,cmun,municipality,province,autonomous_community,altitude,longitude,latitude,lat_bin,lon_bin,towns_in_vicinity,0-17,18-24,25-34,35-54,55+,male,female,total_population,n_industry,n_construction,n_info_communications,n_financial_insurance,n_real_estate,n_professional_technical,n_eduation_health_social,n_other,nearest_airport,closest_distance_airport,nearest_train_station,closest_distance_train,closest_distance_hospital,nearest_hospital,closest_distance_school,nearest_school,koppen_climate,description,number_of_houses,vdsl_30mbps,fixed_wireless,ftth,hfc,reception_30mbps,reception_100mbps,reception_1gbps,4g,5g,"5g_3,5ghz",count_of_stations,suburban_train
41,1059,Vitoria-Gasteiz,Álava,País Vasco,534.3582,-2.667893,42.84641,30,30,"1001, 1002, 1003, 1006, 1009, 1011, 1013, 1014, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023, 1027, 1028, 1030, 1031, 1032, 1033, 1034, 1037, 1041, 1044, 1046, 1047, 1049, 1052, 1053, 1054, 1055, 1056, 1057, 1060, 1061, 1062, 1063, 1901, 1902, 9016, 9050, 9054, 9057, 9109, 9120, 9190, 9219, 9276, 9347, 20011, 20013, 20025, 20026, 20033, 20034, 20038, 20042, 20043, 20051, 20055, 20057, 20059, 20068, 20070, 20074, 20077, 20080, 26001, 26013, 26033, 26034, 26042, 26045, 26049, 26062, 26065, 26068, 26071, 26111, 26127, 26128, 26129, 26142, 26154, 26166, 31008, 31021, 31043, 31063, 31073, 31100, 31116, 31139, 31141, 31143, 31162, 31182, 31189, 31230, 31265, 48001, 48005, 48006, 48019, 48023, 48024, 48025, 48026, 48027, 48032, 48039, 48050, 48058, 48059, 48072, 48074, 48075, 48088, 48091, 48093, 48094, 48095, 48910, 1051",42947,17680,25583,77218,93979,125163,132244,257407,916.0,1.527,323.0,250.0,237.0,2.453,1.241,1.454,Aeropuerto de Vitoria,6.321856215985429,Vitoria/Gasteiz,0.668031538514676,0.3724720468556434,Hospital Quirónsalud Vitoria,0.390513953848906,Paulo Freire Hhi,Cfb,Oceanic Climate - Mild temperatures and consistent rainfall.,117869.0,0.11,1.0,0.99,0.01,0.99,0.98,0.99,1.0,1.0,0.97,,
50,2003,Albacete,Albacete,Castilla La Mancha,685.9573,-1.86007,38.99765,22,32,"2001, 2012, 2015, 2021, 2026, 2027, 2029, 2032, 2035, 2036, 2038, 2039, 2040, 2041, 2045, 2046, 2050, 2052, 2054, 2060, 2061, 2063, 2064, 2065, 2066, 2069, 2071, 2073, 2075, 2078, 2083, 2901, 16175, 16244",30616,13617,19673,52956,57211,85067,89006,174073,804.0,1.221,179.0,315.0,809.0,1.983,1.164,1.27,Aeropuerto de Albacete,5.337180015477567,Albacete Los Llanos,1.0249316089428648,0.8958485753010231,Clínica Santa Cristina Albacete,0.4523087120600689,Formación CCOO,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",87009.0,0.08,0.99,0.97,0.9,1.0,0.95,0.92,1.0,0.99,0.96,1.0,0.0
56,2009,Almansa,Albacete,Castilla La Mancha,699.0923,-1.097517,38.86941,22,33,"2002, 2010, 2018, 2020, 2025, 2027, 2033, 2039, 2051, 3023, 3043, 3052, 3140, 30043, 46044, 46071, 46118, 46124, 46128, 46142, 46144, 46174, 46239, 46251, 46263, 3051, 46170",3927,1762,2567,7080,8986,12057,12265,24322,246.0,145.0,13.0,43.0,91.0,230.0,121.0,171.0,Aeropuerto de Albacete,67.00390856789878,Almansa,0.7108431764255496,1.152660158130397,Hospital General De Almansa,0.4867586955652131,Escuela Oficial de Idiomas,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",12982.0,0.11,0.97,0.87,0.0,1.0,0.92,0.0,1.0,0.92,0.0,1.0,0.0
84,2037,Hellín,Albacete,Castilla La Mancha,571.8438,-1.70331,38.51216,21,32,"2004, 2006, 2011, 2030, 2031, 2033, 2042, 2044, 2056, 2060, 2061, 2063, 2072, 2074, 2901, 30013, 30022, 30028",5362,2671,3788,9081,10021,15579,15344,30923,143.0,217.0,12.0,42.0,84.0,197.0,125.0,183.0,Aeropuerto de Albacete,50.514194538831646,Hellin,1.3367334465079153,1.5090281319571055,Hospital De Hellín,39.64622697659712,EuroProyectos Formativos,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",14715.0,0.06,0.98,0.96,0.68,1.0,0.92,0.91,1.0,0.95,0.07,5.0,0.0
128,2081,Villarrobledo,Albacete,Castilla La Mancha,728.5291,-2.607643,39.26726,23,30,"2019, 2048, 2053, 2057, 13061, 13078, 13082, 13903, 16007, 16033, 16058, 16061, 16063, 16064, 16065, 16124, 16128, 16133, 16153, 16154, 16166, 16171, 16176, 16190, 16195, 16196, 16198, 16238, 16243",4488,2121,2878,7453,8268,12458,12750,25208,131.0,231.0,22.0,37.0,72.0,140.0,92.0,178.0,Aeropuerto de Albacete,73.41535431627246,Villarrobledo,1.0590205647479134,1.486327199658726,Hospital General De Villarobledo,0.3649888163139174,C.C. Ntra. Sra. del Carmen,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",14736.0,0.05,0.87,0.79,0.0,0.99,0.79,0.72,1.0,0.81,0.0,2.0,0.0
142,3011,"Alfàs del Pi, l'",Alicante,Valencia,96.30521,-0.1032094,38.58055,21,35,"3004, 3006, 3008, 3016, 3017, 3018, 3020, 3022, 3026, 3027, 3028, 3029, 3030, 3031, 3032, 3033, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3045, 3046, 3048, 3050, 3054, 3056, 3057, 3060, 3063, 3068, 3069, 3071, 3072, 3073, 3075, 3081, 3085, 3086, 3090, 3091, 3092, 3094, 3095, 3097, 3098, 3100, 3101, 3102, 3103, 3106, 3107, 3110, 3112, 3115, 3117, 3119, 3124, 3125, 3127, 3128, 3130, 3131, 3134, 3135, 3137, 3901, 46002, 46037, 46043, 46055, 46061, 46091, 46181, 46187, 46198, 46208, 46221, 46240, 3009, 3042, 3047, 3082, 3083, 3084, 3132, 3139, 46255",3006,1467,2041,5716,8195,10039,10386,20425,45.0,251.0,41.0,42.0,207.0,312.0,128.0,177.0,Aeropuerto de Alicante - Elche,51.8115539554833,Cocentaina,34.81101535906979,4.236092995428576,Hospital Imed Levante,0.1708632319521005,El Nano,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.,12185.0,0.05,0.99,0.92,0.0,0.9,0.87,0.07,1.0,1.0,0.04,1.0,0.0
145,3015,Almoradí,Alicante,Valencia,17.38357,-0.7920032,38.10963,20,34,"3002, 3005, 3012, 3013, 3019, 3024, 3025, 3034, 3044, 3049, 3055, 3058, 3059, 3061, 3062, 3064, 3070, 3074, 3076, 3077, 3078, 3080, 3088, 3093, 3099, 3105, 3109, 3111, 3113, 3114, 3118, 3120, 3121, 3133, 3138, 3902, 3903, 3904, 30001, 30010, 30020, 30027, 30030, 30035, 30036, 30901, 3014, 3065, 3089, 3122",4833,1817,2562,6891,6294,11297,11100,22397,92.0,205.0,18.0,40.0,104.0,225.0,91.0,147.0,Aeropuerto de Alicante - Elche,27.99425171426141,Elx Alta Velocidad,15.339453907508611,5.930453608156347,Hospital Vega Baja De Orihuela,0.3801516775059407,La Unión Musical,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.,10303.0,0.08,0.97,0.99,0.0,1.0,0.96,0.81,1.0,1.0,0.0,,
148,3018,Altea,Alicante,Valencia,21.23566,-0.0491708,38.60032,21,35,"3004, 3006, 3008, 3011, 3016, 3017, 3020, 3022, 3026, 3027, 3028, 3029, 3030, 3031, 3032, 3033, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3045, 3046, 3048, 3050, 3054, 3056, 3057, 3060, 3063, 3068, 3069, 3071, 3072, 3073, 3075, 3081, 3085, 3086, 3091, 3092, 3094, 3095, 3097, 3098, 3100, 3101, 3102, 3103, 3106, 3107, 3110, 3112, 3115, 3117, 3124, 3125, 3127, 3128, 3130, 3131, 3134, 3135, 3137, 3901, 46002, 46034, 46037, 46048, 46055, 46061, 46091, 46168, 46181, 46187, 46188, 46195, 46198, 46208, 3009, 3042, 3047, 3082, 3084, 3132, 3139, 46255",3673,1775,2461,7212,9228,11898,12451,24349,74.0,366.0,37.0,46.0,258.0,450.0,168.0,221.0,Aeropuerto de Alicante - Elche,56.86548598356079,Cocentaina,37.97252584224724,8.070681307932118,Hospital Imed Levante,0.0993909915920803,D'Altea,Csa,"Mediterranean Hot Summer - Hot, dry summers and mild, wet winters.",16471.0,0.07,0.94,0.94,0.0,0.96,0.92,0.91,1.0,0.95,0.02,5.0,0.0
149,3019,Aspe,Alicante,Valencia,230.3877,-0.7694142,38.34857,21,34,"3002, 3004, 3005, 3012, 3013, 3015, 3023, 3024, 3025, 3034, 3043, 3044, 3046, 3049, 3050, 3052, 3053, 3055, 3058, 3059, 3061, 3062, 3064, 3066, 3070, 3074, 3076, 3077, 3078, 3079, 3080, 3088, 3090, 3093, 3096, 3099, 3104, 3105, 3109, 3111, 3113, 3114, 3116, 3118, 3119, 3121, 3123, 3129, 3138, 3140, 3903, 3904, 30001, 30010, 30020, 3014, 3051, 3065, 3083, 3089, 3122",4200,1661,2327,6822,6890,11013,10887,21900,184.0,178.0,23.0,25.0,75.0,159.0,105.0,129.0,Aeropuerto de Alicante - Elche,19.320049322734903,Novelda-Aspe,6.544939925640278,11.35423663906642,Hospital Universitario Vinalopo,0.2154055426720976,Virgen De Las Nieves,BSk,"Cold Semi-Arid Climate - Dry, but with lower temperatures.",9073.0,0.08,0.99,0.94,0.0,0.99,0.93,0.18,1.0,0.94,0.0,,
161,3031,Benidorm,Alicante,Valencia,21.19977,-0.1290771,38.53704,21,35,"3004, 3006, 3008, 3011, 3016, 3017, 3018, 3020, 3022, 3026, 3027, 3028, 3029, 3030, 3032, 3033, 3035, 3036, 3037, 3038, 3039, 3040, 3041, 3045, 3046, 3048, 3050, 3054, 3056, 3057, 3060, 3063, 3068, 3069, 3071, 3072, 3073, 3075, 3079, 3081, 3085, 3086, 3090, 3091, 3092, 3094, 3095, 3097, 3098, 3100, 3101, 3102, 3103, 3106, 3107, 3110, 3112, 3115, 3117, 3119, 3124, 3125, 3127, 3128, 3129, 3130, 3131, 3134, 3135, 3137, 3901, 3009, 3014, 3042, 3047, 3082, 3083, 3084, 3122, 3132, 3139, 46255",10914,5017,8699,22419,27524,37042,37531,74573,72.0,467.0,78.0,81.0,597.0,769.0,293.0,594.0,Aeropuerto de Alicante - Elche,47.076759244382,Alcoi,35.34654213151516,0.6496817144409306,Hospital Clínica Benidorm,0.1199733535805446,Nuestra Señora De Los Dolores,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.,61182.0,0.03,1.0,0.97,0.0,0.98,0.97,0.94,1.0,1.0,0.98,5.0,0.0
178,3050,"Campello, el",Alicante,Valencia,25.46509,-0.3978871,38.42892,21,35,"3002, 3004, 3008, 3011, 3016, 3017, 3018, 3019, 3020, 3021, 3022, 3027, 3031, 3032, 3033, 3035, 3036, 3037, 3038, 3039, 3043, 3045, 3046, 3048, 3053, 3056, 3057, 3060, 3066, 3068, 3069, 3073, 3075, 3079, 3086, 3088, 3090, 3092, 3093, 3094, 3096, 3098, 3103, 3104, 3106, 3107, 3112, 3119, 3121, 3123, 3124, 3127, 3129, 3130, 3138, 3009, 3014, 3065, 3083, 3089, 3122, 3132, 3139",4964,2228,2860,9318,11389,14939,15820,30759,51.0,243.0,69.0,50.0,175.0,440.0,256.0,231.0,Aeropuerto de Alicante - Elche,21.48136349864963,Alcoi,31.77799709561504,3.824941975909265,Hospital Universitario San Juan De Alicante,0.0126569258139829, ,Bsh,Hot Semi-Arid Climate - Dry with higher temperatures.,26647.0,0.02,1.0,0.99,0.26,0.99,0.97,0.97,1.0,1.0,0.26,9.0,0.0
